# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403637130.98832 0.016420 -0.028802 -0.004801 -0.786675 -0.116015 -0.587636 0.149557 0.0003199313 0.0000949186 0.0002538517 0.0012303177 -0.0000261867 0.0011700734 0.0016660592 0.0000000168 -0.0000198859 0.0016660448 0.0000347388 0.0002558169
1403637131.03832 0.020808 -0.035423 -0.005671 -0.787162 -0.116617 -0.586832 0.149681 0.0003723582 0.0000946983 0.0002554620 0.0012818526 -0.0000263186 0.0012206076 0.0024068030 0.0000000319 -0.0000308192 0.0024067780 0.0000522027 0.0003148441
1403637131.08832 0.025976 -0.042572 -0.006563 -0.787400 -0.117721 -0.586254 0.149830 0.0004293657 0.0000938500 0.0002566069 0.0013385196 -0.0000262147 0.0012764255 0.0033810523 0.0000000570 -0.0000462921 0.0033810143 0.0000753665 0.0003813062
1403637131.13832 0.031632 -0.049993 -0.007574 -0.787871 -0.117419 -0.585311 0.151272 0.0004921759 0.0000966430 0.0002577062 0.0013994233 -0.0000271500 0.0013371999 0.0046365747 0.0000000935 -0.0000668659 0.0046365223 0.0001047806 0.0004556345
1403637131.18832 0.038089 -0.058307 -0.008727 -0.788333 -0.118146 -0.584377 0.151907 0.0005597472 0.0000970703 0.0002592793 0.0014658165 -0.0000274705 0.0014027186 0.0062269269 0.0000001527 -0.0000944225 0.0062268543 0.0001430642 0.0005384397
1403637131.23832 0.045565 -0.067248 -0.009883 -0.788698 -0.118738 -0.583662 0.152305 0.0006320613 0.0000972263 0.0002605308 0.0015372685 -0.0000276740 0.0014734308 0.0082126496 0.0000002437 -0.0001312218 0.0082125604 0.0001912266 0.0006302992
1403637131.28832 -0.013720 0.016828 -0.005228 -0.781038 -0.124027 -0.598166 0.129596 0.0000068092 0.0000018161 0.0000048652 0.0000237130 -0.0000005168 0.0000225214 0.0006635817 0.0000000052 -0.0000025990 0.0006635732 0.0000027524 0.0005914649
1403637131.33832 -0.015588 0.019779 -0.005781 -0.781031 -0.124502 -0.598186 0.129088 0.0000070724 0.0000009076 0.0000043788 0.0000238949 -0.0000002356 0.0000228072 0.0007736435 0.0000000170 -0.0000004865 0.0007736154 -0.0000004202 0.0006807326
1403637131.38832 -0.017735 0.023074 -0.006424 -0.781110 -0.124696 -0.598064 0.128989 0.0000077291 0.0000008568 0.0000042317 0.0000239791 -0.0000002225 0.0000229252 0.0008945861 0.0000000205 -0.0000005894 0.0008945509 -0.0000005770 0.0007777740
1403637131.43832 -0.019831 0.026912 -0.007018 -0.780968 -0.125092 -0.598146 0.129087 0.0000084234 0.0000008058 0.0000040753 0.0000241059 -0.0000002088 0.0000230909 0.0010274575 0.0000000238 -0.0000007303 0.0010274134 -0.0000007698 0.0008827181
1403637131.48832 -0.022094 0.030966 -0.007763 -0.780974 -0.125630 -0.598106 0.128708 0.0000091638 0.0000007416 0.0000039273 0.0000242767 -0.0000001922 0.0000232948 0.0011729502 0.0000000269 -0.0000009065 0.0011728953 -0.0000009839 0.0009959038
1403637131.53832 -0.024578 0.035181 -0.008524 -0.781038 -0.125724 -0.598119 0.128169 0.0000099471 0.0000006827 0.0000037781 0.0000244894 -0.0000001769 0.0000235418 0.0013318247 0.0000000295 -0.0000011210 0.0013317573 -0.0000012137 0.0011176930
1403637131.58832 -0.027237 0.039923 -0.009314 -0.781059 -0.125514 -0.598105 0.128314 0.0000107729 0.0000006455 0.0000036245 0.0000247427 -0.0000001671 0.0000238337 0.0015048619 0.0000000314 -0.0000013828 0.0015047794 -0.0000014802 0.0012484691
1403637131.63832 -0.029925 0.045158 -0.010105 -0.781082 -0.125870 -0.598003 0.128292 0.0000116425 0.0000005951 0.0000034750 0.0000250398 -0.0000001539 0.0000241660 0.0016928863 0.0000000322 -0.0000017094 0.0016927861 -0.0000017850 0.0013886386
1403637131.68832 -0.032795 0.050734 -0.010940 -0.781101 -0.126357 -0.597923 0.128078 0.0000125546 0.0000005388 0.0000033259 0.0000253800 -0.0000001393 0.0000245408 0.0018967511 0.0000000316 -0.0000020994 0.0018966306 -0.0000021187 0.0015386294
1403637131.73832 -0.035766 0.056519 -0.011768 -0.781039 -0.126843 -0.598036 0.127440 0.0000135071 0.0000004740 0.0000031734 0.0000257634 -0.0000001223 0.0000249601 0.0021173625 0.0000000291 -0.0000025681 0.0021172190 -0.0000024690 0.0016988915
1403637131.78832 -0.038944 0.062978 -0.012678 -0.781053 -0.127073 -0.597974 0.127422 0.0000145046 0.0000004268 0.0000030220 0.0000261880 -0.0000001099 0.0000254213 0.0023556488 0.0000000244 -0.0000031158 0.0023554789 -0.0000028738 0.0018698995
1403637131.83832 -0.042246 0.069877 -0.013610 -0.781078 -0.127137 -0.597925 0.127427 0.0000155447 0.0000003828 0.0000028698 0.0000266549 -0.0000000983 0.0000259256 0.0026126017 0.0000000168 -0.0000037598 0.0026124021 -0.0000033163 0.0020521459
