# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.31214 0.000029 0.004494 0.008265 0.827853 -0.012642 0.560526 0.017615 0.0003829060 -0.0000139210 0.0003444790 0.0012448145 0.0000055624 0.0011073972 0.0017630351 0.0000000002 0.0000000114 0.0017630347 -0.0000055822 0.0002602300
1403715278.36214 -0.000344 0.005103 0.010498 0.827372 -0.013293 0.561191 0.018529 0.0004337752 -0.0000146254 0.0003432557 0.0012967927 0.0000058154 0.0011605532 0.0025415118 0.0000000003 0.0000006157 0.0025415114 -0.0000076989 0.0003193450
1403715278.41214 -0.000285 0.005807 0.012934 0.827146 -0.013515 0.561488 0.019428 0.0004902739 -0.0000157656 0.0003426729 0.0013537533 0.0000062542 0.0012180958 0.0035633651 0.0000000003 0.0000006241 0.0035633643 -0.0000104792 0.0003857070
1403715278.46214 0.000849 0.006823 0.015472 0.826262 -0.014621 0.562771 0.019135 0.0005501154 -0.0000141126 0.0003404386 0.0014158115 0.0000055479 0.0012821971 0.0048779191 -0.0000000005 -0.0000018902 0.0048779170 -0.0000145739 0.0004597501
1403715278.51214 0.003268 0.008210 0.018516 0.824959 -0.015618 0.564649 0.019237 0.0006139967 -0.0000131495 0.0003370955 0.0014828423 0.0000051003 0.0013522803 0.0065427673 -0.0000000034 -0.0000088191 0.0065427651 -0.0000205920 0.0005419571
1403715278.56214 0.007006 0.010189 0.023372 0.822019 -0.016861 0.568900 0.018816 0.0006790728 -0.0000110038 0.0003294422 0.0015549023 0.0000041396 0.0014311266 0.0086289984 -0.0000000118 -0.0000221354 0.0086290026 -0.0000298498 0.0006328699
1403715278.61214 0.011949 0.012598 0.030328 0.819131 -0.018069 0.573033 0.018217 0.0007494685 -0.0000085958 0.0003218497 0.0016319542 0.0000031403 0.0015146280 0.0112121387 -0.0000000302 -0.0000436874 0.0112121650 -0.0000427830 0.0007330748
1403715278.66214 0.018185 0.015562 0.039717 0.817826 -0.017673 0.574871 0.019295 0.0008285401 -0.0000106005 0.0003183262 0.0017139075 0.0000038241 0.0015995138 0.0143773406 -0.0000000663 -0.0000763134 0.0143774176 -0.0000608721 0.0008432255
1403715278.71214 0.025487 0.019235 0.052065 0.816385 -0.019295 0.576915 0.017668 0.0009123228 -0.0000062420 0.0003145671 0.0018009861 0.0000022314 0.0016895468 0.0182220845 -0.0000001304 -0.0001219102 0.0182222505 -0.0000862125 0.0009640221
1403715278.76214 0.155902 0.021183 0.060374 0.824687 -0.020973 0.564924 0.017688 0.0004919735 0.0000006335 0.0001789022 0.0008955373 -0.0000130941 0.0001212943 0.0091629699 -0.0012017352 0.0005602603 0.0036589540 -0.0002537758 0.0005322377
1403715278.81214 0.155305 0.053859 0.089893 0.821514 -0.023205 0.569340 0.020706 0.0002506820 0.0000446636 0.0000793424 0.0004122238 0.0000131582 0.0000289518 0.0049359467 0.0000015839 0.0003030805 0.0010579847 -0.0000203814 0.0003180732
1403715278.86214 0.090856 0.016090 0.159222 0.817193 -0.021590 0.575848 0.011327 0.0000041085 0.0000015443 0.0000013032 0.0000038779 0.0000003820 0.0000005236 0.0000545532 0.0000138239 0.0000096392 0.0000288708 -0.0000001322 0.0000383981
1403715278.91214 0.105864 0.018570 0.186818 0.817085 -0.021569 0.576008 0.011060 0.0000044495 0.0000016633 0.0000013545 0.0000039938 0.0000003455 0.0000005318 0.0000662213 0.0000176887 0.0000143322 0.0000356496 0.0000011273 0.0000413868
1403715278.96214 0.120774 0.020920 0.214178 0.816823 -0.021310 0.576383 0.011345 0.0000047810 0.0000017389 0.0000013939 0.0000041056 0.0000003539 0.0000005319 0.0000783390 0.0000215236 0.0000184702 0.0000409690 0.0000017410 0.0000443313
1403715279.01214 0.138464 0.022856 0.237613 0.817150 -0.020646 0.575926 0.012222 0.0000048751 0.0000015162 0.0000013606 0.0000033260 0.0000002926 0.0000005136 0.0000735026 0.0000210553 0.0000211919 0.0000444946 0.0000017964 0.0000472243
1403715279.06214 0.152795 0.023785 0.255902 0.817761 -0.020432 0.575058 0.012559 0.0000043877 0.0000011703 0.0000011457 0.0000025308 0.0000001953 0.0000004421 0.0000620874 0.0000164283 0.0000224665 0.0000412924 0.0000011675 0.0000499414
1403715279.11214 0.163696 0.024499 0.267399 0.817812 -0.020129 0.574992 0.012750 0.0000041691 0.0000009924 0.0000010329 0.0000022454 0.0000001465 0.0000004119 0.0000604563 0.0000150968 0.0000250066 0.0000415059 0.0000004213 0.0000529788
1403715279.16214 0.167729 0.022759 0.271164 0.818162 -0.019290 0.574513 0.013197 0.0000038858 0.0000007178 0.0000008937 0.0000018636 0.0000000656 0.0000003761 0.0000505516 0.0000090291 0.0000238289 0.0000390118 -0.0000018286 0.0000406602
1403715279.21214 0.177400 0.023795 0.273257 0.818976 -0.018795 0.573349 0.014008 0.0000040784 0.0000007104 0.0000008898 0.0000018807 0.0000000593 0.0000003828 0.0000539219 0.0000097153 0.0000270367 0.0000431177 -0.0000020532 0.0000440415
1403715279.26214 0.170147 0.023786 0.261631 0.819381 -0.018485 0.572765 0.014578 0.0000034645 0.0000006053 0.0000006900 0.0000018512 0.0000000382 0.0000003430 0.0000514307 0.0000077184 0.0000268154 0.0000374961 -0.0000021705 0.0000450503
1403715279.31214 0.169634 0.024219 0.253777 0.820256 -0.018594 0.571504 0.014770 0.0000035038 0.0000005717 0.0000006516 0.0000018617 0.0000000285 0.0000003482 0.0000506745 0.0000073764 0.0000273875 0.0000395451 -0.0000025550 0.0000467576
1403715279.36214 0.160772 0.023279 0.241132 0.820936 -0.019125 0.570519 0.014394 0.0000027098 0.0000007528 0.0000004510 0.0000017371 0.0000000684 0.0000003200 0.0000454477 0.0000103276 0.0000229535 0.0000328991 -0.0000016919 0.0000324020
1403715279.41214 0.153321 0.024312 0.228752 0.821103 -0.019776 0.570271 0.013796 0.0000024670 0.0000006726 0.0000003532 0.0000017320 0.0000000375 0.0000003155 0.0000400799 0.0000079844 0.0000199456 0.0000293890 -0.0000019713 0.0000303528
1403715279.46214 0.137200 0.025721 0.212365 0.821701 -0.020137 0.569393 0.013915 0.0000015361 0.0000004827 0.0000001595 0.0000010925 0.0000000236 0.0000002425 0.0000206679 0.0000044687 0.0000094108 0.0000154844 -0.0000003525 0.0000144401
1403715279.51214 0.143619 0.026064 0.212985 0.822231 -0.020263 0.568634 0.013453 0.0000016187 0.0000005103 0.0000001523 0.0000011576 0.0000000238 0.0000002624 0.0000215605 0.0000047079 0.0000099992 0.0000162106 -0.0000003288 0.0000148046
1403715279.56214 0.150376 0.026373 0.214685 0.822438 -0.019718 0.568339 0.014046 0.0000017015 0.0000005398 0.0000001443 0.0000012286 0.0000000239 0.0000002844 0.0000227301 0.0000049604 0.0000105706 0.0000169188 -0.0000003434 0.0000151029
1403715279.61214 0.157180 0.026570 0.217224 0.823143 -0.019711 0.567313 0.014228 0.0000017883 0.0000005695 0.0000001334 0.0000013017 0.0000000227 0.0000003080 0.0000240942 0.0000052319 0.0000111815 0.0000177186 -0.0000003602 0.0000154248
