# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.31214 0.000029 0.004494 0.008265 0.827853 -0.012642 0.560526 0.017615 0.0003829060 -0.0000139210 0.0003444790 0.0012448145 0.0000055624 0.0011073972 0.0017630351 0.0000000002 0.0000000114 0.0017630347 -0.0000055822 0.0002602300
1403715278.36214 -0.000344 0.005103 0.010498 0.827372 -0.013293 0.561191 0.018529 0.0004337752 -0.0000146254 0.0003432557 0.0012967927 0.0000058154 0.0011605532 0.0025415118 0.0000000003 0.0000006157 0.0025415114 -0.0000076989 0.0003193450
1403715278.41214 -0.000285 0.005807 0.012934 0.827146 -0.013515 0.561488 0.019428 0.0004902739 -0.0000157656 0.0003426729 0.0013537533 0.0000062542 0.0012180958 0.0035633651 0.0000000003 0.0000006241 0.0035633643 -0.0000104792 0.0003857070
1403715278.46214 0.000849 0.006823 0.015472 0.826262 -0.014621 0.562771 0.019135 0.0005501154 -0.0000141126 0.0003404386 0.0014158115 0.0000055479 0.0012821971 0.0048779191 -0.0000000005 -0.0000018902 0.0048779170 -0.0000145739 0.0004597501
1403715278.51214 0.003268 0.008210 0.018516 0.824959 -0.015618 0.564649 0.019237 0.0006139967 -0.0000131495 0.0003370955 0.0014828423 0.0000051003 0.0013522803 0.0065427673 -0.0000000034 -0.0000088191 0.0065427651 -0.0000205920 0.0005419571
1403715278.56214 0.007006 0.010189 0.023372 0.822019 -0.016861 0.568900 0.018816 0.0006790728 -0.0000110038 0.0003294422 0.0015549023 0.0000041396 0.0014311266 0.0086289984 -0.0000000118 -0.0000221354 0.0086290026 -0.0000298498 0.0006328699
1403715278.61214 0.011949 0.012598 0.030328 0.819131 -0.018069 0.573033 0.018217 0.0007494685 -0.0000085958 0.0003218497 0.0016319542 0.0000031403 0.0015146280 0.0112121387 -0.0000000302 -0.0000436874 0.0112121650 -0.0000427830 0.0007330748
1403715278.66214 0.018185 0.015562 0.039717 0.817826 -0.017673 0.574871 0.019295 0.0008285401 -0.0000106005 0.0003183262 0.0017139075 0.0000038241 0.0015995138 0.0143773406 -0.0000000663 -0.0000763134 0.0143774176 -0.0000608721 0.0008432255
1403715278.71214 0.025487 0.019235 0.052065 0.816385 -0.019295 0.576915 0.017668 0.0009123228 -0.0000062420 0.0003145671 0.0018009861 0.0000022314 0.0016895468 0.0182220845 -0.0000001304 -0.0001219102 0.0182222505 -0.0000862125 0.0009640221
1403715278.76214 0.042532 0.008044 0.069205 0.814980 -0.021217 0.578931 0.014021 0.0008018530 -0.0000224424 0.0002664307 0.0017427980 -0.0000824828 0.0008776570 0.0191454830 -0.0038218263 -0.0004562019 0.0110435262 0.0003837597 0.0008484686
1403715278.81214 0.056421 0.006129 0.086431 0.813557 -0.021654 0.580954 0.012147 0.0006607795 0.0000168189 0.0001450608 0.0017843451 -0.0000506897 0.0008186347 0.0223701076 -0.0035694310 -0.0001390900 0.0094639288 0.0008078888 0.0004511392
1403715278.86214 0.066860 0.007907 0.106798 0.811515 -0.022162 0.583811 0.010778 0.0007212229 0.0000217780 0.0001438209 0.0018592647 -0.0000463243 0.0008695003 0.0278778664 -0.0043412513 -0.0002296893 0.0118373496 0.0009847736 0.0005095526
1403715278.91214 0.098930 0.006536 0.125248 0.812723 -0.022010 0.582146 0.010163 0.0005331594 0.0000379142 0.0001079837 0.0008778818 0.0000065102 0.0000334170 0.0153496748 -0.0006179166 0.0004083987 0.0022834933 -0.0001863939 0.0003067433
1403715278.96214 0.090683 0.014090 0.143514 0.810863 -0.021373 0.584748 0.010721 0.0004422505 -0.0000143368 0.0000848425 0.0001546681 0.0000096273 0.0000272315 0.0033958552 0.0003275079 0.0000833308 0.0020733434 -0.0001450738 0.0003048129
1403715279.01214 0.108920 0.016159 0.159526 0.811200 -0.020930 0.584272 0.011937 0.0003944721 -0.0000134662 0.0000726984 0.0000507663 0.0000053132 0.0000248879 0.0014354055 0.0004350879 -0.0000246975 0.0021179665 -0.0001426011 0.0003270365
1403715279.06214 0.103910 0.011114 0.171283 0.810811 -0.020595 0.584839 0.011170 0.0002919003 0.0000140693 0.0000491461 0.0000161663 0.0000032580 0.0000191623 0.0006437496 0.0005733509 0.0000478122 0.0017704695 -0.0001576748 0.0003578211
1403715279.11214 0.121078 0.012678 0.174419 0.811139 -0.020081 0.584397 0.011403 0.0002487903 0.0000050484 0.0000352341 0.0000131945 -0.0000007814 0.0000157456 0.0004133055 0.0003735832 0.0001067345 0.0016568011 -0.0001642421 0.0003783799
1403715279.16214 0.128084 0.014653 0.174616 0.811446 -0.019376 0.583979 0.012182 0.0002408998 0.0000035902 0.0000299301 0.0000119383 -0.0000013709 0.0000157888 0.0003642430 0.0003821218 0.0001061677 0.0017456774 -0.0001803126 0.0004050261
1403715279.21214 0.136152 0.016551 0.171147 0.812053 -0.018902 0.583130 0.013083 0.0002274193 0.0000026595 0.0000251840 0.0000116253 -0.0000018713 0.0000160989 0.0003215623 0.0003800658 0.0000887923 0.0017950074 -0.0002209474 0.0004140289
1403715279.26214 0.139025 0.025255 0.161344 0.812236 -0.018917 0.582847 0.014313 0.0001651408 0.0000010970 0.0000155926 0.0000108175 -0.0000022002 0.0000158874 0.0002444000 0.0003082166 0.0000244324 0.0013934789 -0.0002815917 0.0003820910
1403715279.31214 0.142505 0.026479 0.153976 0.812919 -0.018874 0.581899 0.014151 0.0001285136 0.0000020362 0.0000066076 0.0000113032 -0.0000020591 0.0000155022 0.0002153004 0.0002569974 0.0000004504 0.0011145299 -0.0002634442 0.0003639245
1403715279.36214 0.145898 0.029735 0.146425 0.813562 -0.019301 0.580991 0.013896 0.0001054240 0.0000023295 0.0000004077 0.0000119591 -0.0000018721 0.0000157059 0.0001977460 0.0002204028 -0.0000159818 0.0009392700 -0.0002572756 0.0003549749
1403715279.41214 0.151838 0.030785 0.144512 0.813783 -0.019763 0.580690 0.012864 0.0001116574 0.0000022438 -0.0000004823 0.0000134356 -0.0000020824 0.0000174309 0.0002203842 0.0002518169 -0.0000162612 0.0010630589 -0.0002926077 0.0003834394
1403715279.46214 0.157428 0.031478 0.143568 0.814620 -0.019826 0.579522 0.012438 0.0001180659 0.0000022381 -0.0000016742 0.0000150349 -0.0000023019 0.0000193049 0.0002463096 0.0002857465 -0.0000153248 0.0012015159 -0.0003311714 0.0004140838
1403715279.51214 0.162842 0.032094 0.144100 0.814935 -0.019926 0.579087 0.011946 0.0001246609 0.0000022111 -0.0000027369 0.0000167510 -0.0000025197 0.0000213222 0.0002762840 0.0003231670 -0.0000133570 0.0013570354 -0.0003736125 0.0004475025
1403715279.56214 0.168236 0.032679 0.145839 0.814921 -0.019368 0.579114 0.012519 0.0001314379 0.0000024397 -0.0000037019 0.0000186007 -0.0000027505 0.0000234704 0.0003110600 0.0003643161 -0.0000101983 0.0015314298 -0.0004201760 0.0004839452
