# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.31214 0.000029 0.004494 0.008265 0.827853 -0.012642 0.560526 0.017615 0.0003829060 -0.0000139210 0.0003444790 0.0012448145 0.0000055624 0.0011073972 0.0017630351 0.0000000002 0.0000000114 0.0017630347 -0.0000055822 0.0002602300
1403715278.36214 -0.000344 0.005103 0.010498 0.827372 -0.013293 0.561191 0.018529 0.0004337752 -0.0000146254 0.0003432557 0.0012967927 0.0000058154 0.0011605532 0.0025415118 0.0000000003 0.0000006157 0.0025415114 -0.0000076989 0.0003193450
1403715278.41214 -0.000285 0.005807 0.012934 0.827146 -0.013515 0.561488 0.019428 0.0004902739 -0.0000157656 0.0003426729 0.0013537533 0.0000062542 0.0012180958 0.0035633651 0.0000000003 0.0000006241 0.0035633643 -0.0000104792 0.0003857070
1403715278.46214 0.000849 0.006823 0.015472 0.826262 -0.014621 0.562771 0.019135 0.0005501154 -0.0000141126 0.0003404386 0.0014158115 0.0000055479 0.0012821971 0.0048779191 -0.0000000005 -0.0000018902 0.0048779170 -0.0000145739 0.0004597501
1403715278.51214 0.003268 0.008210 0.018516 0.824959 -0.015618 0.564649 0.019237 0.0006139967 -0.0000131495 0.0003370955 0.0014828423 0.0000051003 0.0013522803 0.0065427673 -0.0000000034 -0.0000088191 0.0065427651 -0.0000205920 0.0005419571
1403715278.56214 0.007006 0.010189 0.023372 0.822019 -0.016861 0.568900 0.018816 0.0006790728 -0.0000110038 0.0003294422 0.0015549023 0.0000041396 0.0014311266 0.0086289984 -0.0000000118 -0.0000221354 0.0086290026 -0.0000298498 0.0006328699
1403715278.61214 0.011949 0.012598 0.030328 0.819131 -0.018069 0.573033 0.018217 0.0007494685 -0.0000085958 0.0003218497 0.0016319542 0.0000031403 0.0015146280 0.0112121387 -0.0000000302 -0.0000436874 0.0112121650 -0.0000427830 0.0007330748
1403715278.66214 0.018185 0.015562 0.039717 0.817826 -0.017673 0.574871 0.019295 0.0008285401 -0.0000106005 0.0003183262 0.0017139075 0.0000038241 0.0015995138 0.0143773406 -0.0000000663 -0.0000763134 0.0143774176 -0.0000608721 0.0008432255
1403715278.71214 0.025487 0.019235 0.052065 0.816385 -0.019295 0.576915 0.017668 0.0009123228 -0.0000062420 0.0003145671 0.0018009861 0.0000022314 0.0016895468 0.0182220845 -0.0000001304 -0.0001219102 0.0182222505 -0.0000862125 0.0009640221
1403715278.76214 0.155902 0.021183 0.060374 0.824687 -0.020973 0.564924 0.017688 0.0004919735 0.0000006335 0.0001789022 0.0008955373 -0.0000130941 0.0001212943 0.0091629699 -0.0012017352 0.0005602603 0.0036589540 -0.0002537758 0.0005322377
1403715278.81214 0.155305 0.053859 0.089893 0.821514 -0.023205 0.569340 0.020706 0.0002506820 0.0000446636 0.0000793424 0.0004122238 0.0000131582 0.0000289518 0.0049359467 0.0000015839 0.0003030805 0.0010579847 -0.0000203814 0.0003180732
1403715278.86214 0.149417 0.035772 0.121778 0.818152 -0.021531 0.574449 0.013092 0.0001106630 0.0000053668 0.0000339237 0.0000610197 0.0000062601 0.0000140165 0.0008522251 0.0001620443 0.0000949228 0.0005526448 0.0000021682 0.0001529977
1403715278.91214 0.122195 0.049377 0.142270 0.815374 -0.023611 0.578226 0.016214 0.0000523227 0.0000013739 0.0000139966 0.0000180252 0.0000012997 0.0000069587 0.0002771058 0.0000573421 0.0000691790 0.0003117981 -0.0000031310 0.0001448045
1403715278.96214 0.119619 0.039954 0.163565 0.814166 -0.022870 0.580010 0.014089 0.0000290574 -0.0000002165 0.0000074402 0.0000066115 -0.0000001713 0.0000050345 0.0000993905 0.0000219862 0.0000443801 0.0002186434 -0.0000063578 0.0001291236
1403715279.01214 0.135322 0.048326 0.183611 0.814316 -0.022495 0.579768 0.015882 0.0000219174 -0.0000005093 0.0000052430 0.0000057771 -0.0000002038 0.0000044673 0.0000910007 0.0000181143 0.0000484588 0.0001944763 -0.0000053452 0.0001335625
1403715279.06214 0.147756 0.043142 0.195589 0.814701 -0.021633 0.579283 0.015008 0.0000108837 -0.0000000655 0.0000023834 0.0000056945 -0.0000001385 0.0000037961 0.0000934026 0.0000247526 0.0000538975 0.0001156756 -0.0000042541 0.0001397502
1403715279.11214 0.150811 0.036320 0.200427 0.814457 -0.021671 0.579645 0.014221 0.0000079061 -0.0000004326 0.0000010769 0.0000054017 -0.0000004131 0.0000031844 0.0000832028 0.0000112109 0.0000528371 0.0000849793 -0.0000087337 0.0001425951
1403715279.16214 0.153161 0.035977 0.195137 0.814614 -0.021211 0.579427 0.014769 0.0000066303 -0.0000004547 0.0000003782 0.0000053728 -0.0000005001 0.0000029230 0.0000752636 0.0000045197 0.0000492082 0.0000721183 -0.0000114552 0.0001406018
1403715279.21214 0.152143 0.035458 0.182279 0.814969 -0.021078 0.578917 0.015388 0.0000052189 -0.0000002690 -0.0000000425 0.0000053707 -0.0000005769 0.0000027562 0.0000654951 0.0000014605 0.0000411613 0.0000578360 -0.0000097249 0.0001295849
1403715279.26214 0.151775 0.034729 0.167691 0.815286 -0.020842 0.578478 0.015407 0.0000043375 -0.0000000867 -0.0000002501 0.0000054817 -0.0000006077 0.0000027684 0.0000592510 0.0000006488 0.0000342341 0.0000493115 -0.0000065533 0.0001152892
1403715279.31214 0.155759 0.036235 0.159860 0.816085 -0.021017 0.577343 0.015424 0.0000043773 0.0000000142 -0.0000003131 0.0000056887 -0.0000006162 0.0000026816 0.0000571777 0.0000000852 0.0000335163 0.0000493531 -0.0000054595 0.0001110603
1403715279.36214 0.159330 0.038000 0.153179 0.816865 -0.021942 0.576215 0.015035 0.0000044025 0.0000001292 -0.0000003383 0.0000044871 -0.0000005005 0.0000026227 0.0000515777 0.0000002801 0.0000269521 0.0000489967 -0.0000041396 0.0000979632
1403715279.41214 0.163997 0.039169 0.151483 0.817147 -0.022617 0.575812 0.014177 0.0000021780 0.0000000591 -0.0000002214 0.0000023735 -0.0000002573 0.0000007976 0.0000430533 0.0000033966 0.0000175317 0.0000293064 -0.0000015739 0.0000492291
1403715279.46214 0.167653 0.040033 0.148894 0.818011 -0.022832 0.574581 0.013911 0.0000011213 0.0000000321 -0.0000001335 0.0000012517 -0.0000001365 0.0000004208 0.0000380989 0.0000046425 0.0000120557 0.0000226512 -0.0000020545 0.0000400238
1403715279.51214 0.172247 0.040222 0.149195 0.818366 -0.022988 0.574080 0.013456 0.0000011662 0.0000000419 -0.0000001576 0.0000013285 -0.0000001390 0.0000004481 0.0000383222 0.0000046175 0.0000129781 0.0000231132 -0.0000018544 0.0000399912
1403715279.56214 0.177183 0.040458 0.151439 0.818420 -0.022510 0.574007 0.014081 0.0000012267 0.0000000455 -0.0000001799 0.0000014209 -0.0000001428 0.0000004801 0.0000392305 0.0000042660 0.0000144353 0.0000239618 -0.0000019143 0.0000406539
