# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715528.76214 0.009700 0.006151 0.039843 0.816065 -0.036084 0.575968 0.031579 0.0003570123 -0.0000093981 0.0003152346 0.0012449256 0.0000033275 0.0011331080 0.0018443594 -0.0000000068 -0.0000125366 0.0018443606 -0.0000081474 0.0002603508
1403715528.81214 0.012019 0.007938 0.050550 0.815170 -0.036610 0.577154 0.032412 0.0004071246 -0.0000099840 0.0003128856 0.0012969085 0.0000035023 0.0011869996 0.0026672803 -0.0000000112 -0.0000189564 0.0026672804 -0.0000128041 0.0003195412
1403715528.86214 0.014169 0.010114 0.062072 0.813670 -0.036548 0.579218 0.033352 0.0004609208 -0.0000112806 0.0003088159 0.0013538728 0.0000038945 0.0012472205 0.0037483853 -0.0000000182 -0.0000267774 0.0037483808 -0.0000195607 0.0003859987
1403715528.91214 0.016220 0.012635 0.073872 0.812898 -0.037090 0.580242 0.033783 0.0005213257 -0.0000112423 0.0003067869 0.0014158691 0.0000038510 0.0013107973 0.0051377865 -0.0000000286 -0.0000361734 0.0051377732 -0.0000289119 0.0004601582
1403715528.96214 0.028433 0.016909 0.074996 0.811297 -0.039794 0.582378 0.032408 0.0001870355 0.0000111328 -0.0000246046 0.0002447975 -0.0000573280 0.0002745961 0.0004071230 -0.0000564155 0.0000254722 0.0003112800 -0.0000037243 0.0002427823
1403715529.01214 0.027949 0.023705 0.089258 0.812089 -0.037558 0.581498 0.031008 0.0000831641 0.0000020309 0.0000019919 0.0000175148 -0.0000015511 0.0000110556 0.0000357099 0.0000022759 0.0000199931 0.0000071372 0.0000109466 0.0001213879
1403715529.06214 0.030905 0.029354 0.101901 0.813191 -0.036709 0.580141 0.028446 0.0000506397 0.0000037088 -0.0000050845 0.0000061023 -0.0000004089 0.0000019147 0.0000142872 0.0000019222 0.0000110794 0.0000040775 0.0000087683 0.0000615099
1403715529.11214 0.033216 0.034114 0.114766 0.813364 -0.032487 0.580435 0.021879 0.0000300171 0.0000035758 -0.0000035161 0.0000048694 -0.0000006188 0.0000015543 0.0000127115 0.0000030569 0.0000117701 0.0000040710 0.0000107792 0.0000615518
1403715529.16214 0.035647 0.041133 0.130364 0.814822 -0.029874 0.578633 0.018850 0.0000298487 0.0000030820 -0.0000041348 0.0000044945 -0.0000009076 0.0000016061 0.0000068611 0.0000018354 0.0000060516 0.0000033160 0.0000072261 0.0000359277
1403715529.21214 0.038164 0.048091 0.146266 0.816312 -0.025325 0.576874 0.014502 0.0000282019 0.0000025771 -0.0000043716 0.0000035824 -0.0000006894 0.0000016384 0.0000070560 0.0000021563 0.0000064906 0.0000037691 0.0000082950 0.0000356805
1403715529.26214 0.042280 0.053934 0.163181 0.818534 -0.017992 0.574119 0.008146 0.0000162553 0.0000023859 -0.0000025361 0.0000032268 -0.0000005600 0.0000013439 0.0000074068 0.0000024568 0.0000068342 0.0000036437 0.0000081709 0.0000307668
1403715529.31214 0.048702 0.062096 0.186015 0.820773 -0.008835 0.571183 0.001854 0.0000114032 0.0000021689 -0.0000017962 0.0000030750 -0.0000005840 0.0000011899 0.0000076271 0.0000023844 0.0000066143 0.0000032211 0.0000065290 0.0000236594
1403715529.36214 0.054753 0.071386 0.204325 -0.822830 0.001144 -0.568284 0.001562 0.0000084661 0.0000018121 -0.0000014545 0.0000029794 -0.0000005699 0.0000011836 0.0000080040 0.0000024212 0.0000070702 0.0000032307 0.0000066377 0.0000236554
1403715529.41214 0.062022 0.078570 0.219595 -0.823758 -0.008860 -0.566824 0.007453 0.0000047896 0.0000015352 -0.0000007378 0.0000030322 -0.0000005648 0.0000011146 0.0000083249 0.0000025381 0.0000075920 0.0000036199 0.0000076909 0.0000261095
1403715529.46214 0.069860 0.087391 0.234163 -0.823579 -0.016535 -0.566842 0.011611 0.0000040377 0.0000014733 -0.0000006069 0.0000030238 -0.0000005538 0.0000011182 0.0000082843 0.0000025073 0.0000072021 0.0000038938 0.0000083071 0.0000269380
1403715529.51214 0.078753 0.095965 0.247421 -0.823191 -0.023359 -0.567079 0.015265 0.0000035037 0.0000013944 -0.0000005760 0.0000030483 -0.0000006148 0.0000012007 0.0000081279 0.0000022096 0.0000063957 0.0000041766 0.0000084108 0.0000257928
1403715529.56214 0.087589 0.104718 0.258336 -0.822874 -0.029032 -0.567166 0.018925 0.0000031546 0.0000013578 -0.0000004364 0.0000030960 -0.0000006153 0.0000012167 0.0000083558 0.0000023067 0.0000065539 0.0000046498 0.0000089279 0.0000262299
1403715529.61214 0.096653 0.113686 0.268789 -0.821995 -0.034037 -0.568066 0.021624 0.0000028870 0.0000012791 -0.0000002110 0.0000030949 -0.0000005231 0.0000011816 0.0000087922 0.0000027968 0.0000075514 0.0000051269 0.0000094563 0.0000274648
1403715529.66214 0.106999 0.122899 0.276291 -0.820898 -0.037980 -0.569307 0.023936 0.0000026074 0.0000011552 -0.0000001890 0.0000030568 -0.0000005371 0.0000012439 0.0000082471 0.0000023065 0.0000060440 0.0000053740 0.0000086863 0.0000225623
1403715529.71214 0.116899 0.133005 0.284578 -0.819672 -0.043086 -0.570671 0.024822 0.0000026032 0.0000012086 -0.0000001535 0.0000031486 -0.0000005276 0.0000012692 0.0000087454 0.0000024131 0.0000060872 0.0000059453 0.0000091196 0.0000224567
1403715529.76214 0.128716 0.143798 0.294043 -0.819428 -0.046882 -0.570671 0.025971 0.0000023801 0.0000010874 -0.0000001415 0.0000030798 -0.0000004921 0.0000012703 0.0000083998 0.0000021864 0.0000053240 0.0000061977 0.0000088608 0.0000199793
1403715529.81214 0.140439 0.154924 0.304696 -0.818682 -0.049021 -0.571453 0.028260 0.0000023997 0.0000011177 -0.0000001436 0.0000031189 -0.0000004861 0.0000013121 0.0000089750 0.0000022705 0.0000054602 0.0000067459 0.0000090666 0.0000195000
1403715529.86214 0.148815 0.169252 0.318449 -0.817790 -0.051683 -0.572415 0.029839 0.0000024626 0.0000011418 -0.0000000732 0.0000030552 -0.0000003482 0.0000012473 0.0000093473 0.0000033243 0.0000068060 0.0000069100 0.0000090308 0.0000196843
1403715529.91214 0.159532 0.181836 0.330576 -0.816592 -0.052485 -0.573911 0.032381 0.0000025252 0.0000011978 -0.0000000486 0.0000031067 -0.0000003059 0.0000012563 0.0000103354 0.0000040095 0.0000076523 0.0000076374 0.0000096423 0.0000207204
1403715529.96214 0.169042 0.194294 0.344041 -0.814828 -0.053245 -0.576221 0.034487 0.0000025356 0.0000011635 -0.0000000155 0.0000030380 -0.0000002653 0.0000012837 0.0000107317 0.0000047542 0.0000088257 0.0000087374 0.0000105700 0.0000220307
1403715530.01214 0.179505 0.206161 0.357328 -0.812427 -0.055096 -0.579426 0.034535 0.0000024595 0.0000010651 0.0000000630 0.0000029490 -0.0000002002 0.0000012839 0.0000109433 0.0000055433 0.0000100005 0.0000101347 0.0000118057 0.0000236361
1403715530.06214 0.191683 0.218595 0.372458 -0.809238 -0.057227 -0.583764 0.032855 0.0000024804 0.0000011009 0.0000000834 0.0000029625 -0.0000001318 0.0000012884 0.0000119835 0.0000068342 0.0000114470 0.0000110698 0.0000126844 0.0000250821
1403715530.11214 0.201581 0.233756 0.389337 -0.805942 -0.060264 -0.588176 0.029568 0.0000024713 0.0000010940 0.0000001269 0.0000029846 -0.0000000627 0.0000012816 0.0000130547 0.0000081523 0.0000128113 0.0000124579 0.0000139087 0.0000268329
1403715530.16214 0.210568 0.247798 0.405633 -0.804912 -0.062670 -0.589480 0.026502 0.0000024965 0.0000010973 0.0000001536 0.0000030127 -0.0000000162 0.0000012757 0.0000141010 0.0000094439 0.0000141896 0.0000141301 0.0000153999 0.0000288014
1403715530.21214 0.219666 0.263765 0.424477 -0.805839 -0.064984 -0.588094 0.023353 0.0000025427 0.0000011254 0.0000001413 0.0000030783 -0.0000000141 0.0000012819 0.0000154042 0.0000104977 0.0000156272 0.0000158331 0.0000169019 0.0000308786
1403715530.26214 0.227995 0.281707 0.445923 -0.807893 -0.067056 -0.585172 0.019650 0.0000025946 0.0000011810 0.0000001017 0.0000031618 -0.0000000069 0.0000012510 0.0000172579 0.0000119550 0.0000172869 0.0000173169 0.0000186042 0.0000331153
1403715530.31214 0.234786 0.300538 0.470644 -0.809485 -0.068386 -0.582892 0.017185 0.0000026253 0.0000011940 0.0000000977 0.0000031916 0.0000000260 0.0000012442 0.0000185080 0.0000134880 0.0000185766 0.0000193012 0.0000203798 0.0000351731
1403715530.36214 0.241939 0.321836 0.499147 -0.810940 -0.066697 -0.581020 0.018535 0.0000027139 0.0000012706 0.0000000616 0.0000032789 0.0000000243 0.0000012639 0.0000212853 0.0000153660 0.0000206777 0.0000213778 0.0000223644 0.0000377938
1403715530.41214 0.247316 0.344995 0.529774 -0.811987 -0.064599 -0.579687 0.021602 0.0000027945 0.0000013132 0.0000000319 0.0000033061 0.0000000291 0.0000012710 0.0000232761 0.0000172087 0.0000221813 0.0000235958 0.0000242996 0.0000398949
1403715530.46214 0.254909 0.369476 0.564260 -0.812879 -0.063423 -0.578380 0.026116 0.0000028528 0.0000013239 0.0000000021 0.0000033108 0.0000000175 0.0000012845 0.0000246852 0.0000183899 0.0000231373 0.0000255444 0.0000257529 0.0000415824
1403715530.51214 0.260294 0.395165 0.597522 -0.812948 -0.064860 -0.577939 0.029919 0.0000028824 0.0000013403 -0.0000000446 0.0000033281 -0.0000000066 0.0000012877 0.0000259825 0.0000192975 0.0000239304 0.0000269467 0.0000270231 0.0000431820
1403715530.56214 0.264199 0.420292 0.627713 -0.813134 -0.067050 -0.577195 0.034111 0.0000029509 0.0000013863 -0.0000000726 0.0000033814 -0.0000000065 0.0000012943 0.0000279621 0.0000211400 0.0000250591 0.0000293901 0.0000290228 0.0000450132
1403715530.61214 0.271917 0.452445 0.657251 -0.813155 -0.069514 -0.576720 0.036616 0.0000029851 0.0000014201 -0.0000001555 0.0000034299 -0.0000000656 0.0000012766 0.0000310524 0.0000230488 0.0000272687 0.0000311522 0.0000314852 0.0000480009
1403715530.66214 0.275158 0.477085 0.681571 -0.812406 -0.071350 -0.577301 0.040367 0.0000030032 0.0000013832 -0.0000002008 0.0000033789 -0.0000001065 0.0000012957 0.0000299495 0.0000221813 0.0000263539 0.0000318953 0.0000319462 0.0000488912
1403715530.71214 0.278938 0.503127 0.703456 -0.811930 -0.073597 -0.577417 0.044086 0.0000030239 0.0000013402 -0.0000002796 0.0000033289 -0.0000001885 0.0000013058 0.0000301403 0.0000214471 0.0000267706 0.0000324150 0.0000330112 0.0000511265
1403715530.76214 0.284200 0.530427 0.725176 -0.811698 -0.076999 -0.576949 0.048450 0.0000029947 0.0000012639 -0.0000003080 0.0000032347 -0.0000002121 0.0000013282 0.0000274835 0.0000198561 0.0000242505 0.0000331360 0.0000329554 0.0000505953
1403715530.81214 0.290972 0.560032 0.747203 -0.811434 -0.082220 -0.576133 0.053716 0.0000029641 0.0000011833 -0.0000003037 0.0000031676 -0.0000001958 0.0000013295 0.0000238026 0.0000181821 0.0000202052 0.0000340970 0.0000322293 0.0000482887
1403715530.86214 0.296564 0.589594 0.766818 -0.810799 -0.088232 -0.575574 0.059452 0.0000029831 0.0000011611 -0.0000003507 0.0000031505 -0.0000002378 0.0000013495 0.0000232726 0.0000177747 0.0000190643 0.0000354491 0.0000327985 0.0000483348
1403715530.91214 0.302489 0.618921 0.785784 -0.810440 -0.094100 -0.574598 0.064564 0.0000030290 0.0000011626 -0.0000004103 0.0000031668 -0.0000002950 0.0000013879 0.0000245653 0.0000181400 0.0000194743 0.0000374088 0.0000340668 0.0000494022
1403715530.96214 0.311376 0.648759 0.806782 -0.810602 -0.100307 -0.573045 0.066955 0.0000030388 0.0000011449 -0.0000004376 0.0000031774 -0.0000003133 0.0000014039 0.0000241257 0.0000176574 0.0000175366 0.0000388893 0.0000340304 0.0000480578
1403715531.01214 0.316473 0.676962 0.824485 -0.813128 -0.104896 -0.568168 0.070741 0.0000030431 0.0000011030 -0.0000004736 0.0000031339 -0.0000003375 0.0000014358 0.0000229059 0.0000169159 0.0000159174 0.0000406841 0.0000343438 0.0000475659
1403715531.06214 0.320776 0.704315 0.839570 -0.817641 -0.109574 -0.560454 0.073136 0.0000030963 0.0000011181 -0.0000005391 0.0000031596 -0.0000003895 0.0000014944 0.0000241666 0.0000172830 0.0000152647 0.0000435030 0.0000353424 0.0000478513
1403715531.11214 0.325112 0.732076 0.853207 -0.823783 -0.112892 -0.550393 0.075531 0.0000030826 0.0000010667 -0.0000005752 0.0000031254 -0.0000004007 0.0000015341 0.0000229915 0.0000166354 0.0000134949 0.0000460201 0.0000359897 0.0000477941
1403715531.16214 0.333714 0.761963 0.868892 -0.829048 -0.115398 -0.541606 0.077628 0.0000031132 0.0000010509 -0.0000006315 0.0000031224 -0.0000004367 0.0000015885 0.0000238758 0.0000170848 0.0000134615 0.0000494474 0.0000374787 0.0000483822
1403715531.21214 0.345870 0.793309 0.884582 -0.833415 -0.113245 -0.534189 0.085070 0.0000031393 0.0000009942 -0.0000006618 0.0000030335 -0.0000004294 0.0000016190 0.0000225813 0.0000171859 0.0000132907 0.0000529038 0.0000389011 0.0000488909
1403715531.26214 0.353922 0.821587 0.898904 -0.832330 -0.110012 -0.534989 0.094395 0.0000032301 0.0000009793 -0.0000006871 0.0000029530 -0.0000004179 0.0000016413 0.0000221459 0.0000174500 0.0000125686 0.0000569652 0.0000407464 0.0000499776
1403715531.31214 0.367352 0.848832 0.909747 -0.828389 -0.106693 -0.540200 0.102819 0.0000033021 0.0000009436 -0.0000006841 0.0000028928 -0.0000003884 0.0000016261 0.0000218906 0.0000181168 0.0000130423 0.0000612005 0.0000429693 0.0000508290
1403715531.36214 0.381540 0.875673 0.925899 -0.823180 -0.104383 -0.547314 0.109208 0.0000034176 0.0000009532 -0.0000006808 0.0000028708 -0.0000003560 0.0000016179 0.0000224519 0.0000196420 0.0000136851 0.0000660004 0.0000452909 0.0000521349
1403715531.41214 0.399299 0.903117 0.944363 -0.818662 -0.103179 -0.553506 0.113037 0.0000034933 0.0000009388 -0.0000006419 0.0000028370 -0.0000002951 0.0000015800 0.0000225798 0.0000217063 0.0000146189 0.0000708818 0.0000476269 0.0000537511
1403715531.46214 0.416334 0.929913 0.960674 -0.814848 -0.103622 -0.558857 0.113864 0.0000035653 0.0000009377 -0.0000006119 0.0000028325 -0.0000002477 0.0000015500 0.0000230971 0.0000242349 0.0000161684 0.0000756326 0.0000496185 0.0000549158
1403715531.51214 0.433905 0.953212 0.969214 -0.811808 -0.104286 -0.562982 0.114646 0.0000036423 0.0000009610 -0.0000006333 0.0000028280 -0.0000002075 0.0000015174 0.0000242891 0.0000262949 0.0000169688 0.0000774105 0.0000507914 0.0000562421
1403715531.56214 0.454071 0.982857 0.978677 -0.810138 -0.104764 -0.565233 0.114943 0.0000036868 0.0000009503 -0.0000006519 0.0000028152 -0.0000001763 0.0000014886 0.0000249483 0.0000280668 0.0000181385 0.0000776698 0.0000505344 0.0000560500
1403715531.61214 0.473313 1.010273 0.985106 -0.809836 -0.104332 -0.565427 0.116499 0.0000037443 0.0000009527 -0.0000006903 0.0000028065 -0.0000001574 0.0000014835 0.0000261150 0.0000297277 0.0000188354 0.0000773906 0.0000497380 0.0000558963
1403715531.66214 0.493630 1.035641 0.990027 -0.810608 -0.103486 -0.564146 0.118082 0.0000037918 0.0000009445 -0.0000007295 0.0000027912 -0.0000001427 0.0000014867 0.0000271551 0.0000307947 0.0000191450 0.0000765069 0.0000484619 0.0000553612
1403715531.71214 0.517490 1.066744 0.994570 -0.810308 -0.105288 -0.564863 0.115090 0.0000037748 0.0000009281 -0.0000007989 0.0000027846 -0.0000001361 0.0000014620 0.0000273642 0.0000292692 0.0000178124 0.0000689579 0.0000444821 0.0000535639
1403715531.76214 0.540153 1.090188 0.998540 -0.809511 -0.108565 -0.566437 0.109796 0.0000038007 0.0000009422 -0.0000008286 0.0000027958 -0.0000001377 0.0000014755 0.0000282827 0.0000294251 0.0000174348 0.0000673860 0.0000426133 0.0000524588
1403715531.81214 0.562108 1.112270 1.002483 -0.806438 -0.111597 -0.571219 0.104468 0.0000038326 0.0000009458 -0.0000008322 0.0000028027 -0.0000001180 0.0000014630 0.0000290165 0.0000295069 0.0000169731 0.0000637101 0.0000394338 0.0000506511
1403715531.86214 0.584129 1.127786 1.003465 -0.802790 -0.113884 -0.576677 0.100015 0.0000038582 0.0000009391 -0.0000008155 0.0000027948 -0.0000000871 0.0000014553 0.0000299281 0.0000303285 0.0000170330 0.0000609888 0.0000362847 0.0000485040
1403715531.91214 0.604833 1.144664 1.007294 -0.799246 -0.114948 -0.581823 0.097333 0.0000039369 0.0000009514 -0.0000008186 0.0000028092 -0.0000000804 0.0000014542 0.0000311855 0.0000307511 0.0000167015 0.0000599309 0.0000341980 0.0000469203
1403715531.96214 0.623802 1.158714 1.008646 -0.796081 -0.115874 -0.586443 0.094402 0.0000039968 0.0000009559 -0.0000008206 0.0000028176 -0.0000000606 0.0000014326 0.0000324283 0.0000313009 0.0000164191 0.0000575296 0.0000318576 0.0000451503
1403715532.01214 0.640922 1.169304 1.008052 -0.794377 -0.115945 -0.588928 0.093193 0.0000040705 0.0000009641 -0.0000008389 0.0000028328 -0.0000000505 0.0000014238 0.0000341107 0.0000322831 0.0000163931 0.0000563587 0.0000303861 0.0000440757
1403715532.06214 0.657423 1.179305 1.008079 -0.792879 -0.116762 -0.591107 0.091114 0.0000041457 0.0000009833 -0.0000008581 0.0000028546 -0.0000000391 0.0000014251 0.0000362136 0.0000338629 0.0000167020 0.0000559883 0.0000295703 0.0000437834
1403715532.11214 0.673146 1.194691 1.009723 -0.792002 -0.117897 -0.592444 0.088565 0.0000042252 0.0000010092 -0.0000008823 0.0000028815 -0.0000000321 0.0000014453 0.0000387177 0.0000356386 0.0000170479 0.0000555334 0.0000281636 0.0000432916
1403715532.16214 0.687173 1.207314 1.009022 -0.791169 -0.118216 -0.593613 0.087751 0.0000043018 0.0000010220 -0.0000009122 0.0000029017 -0.0000000300 0.0000014485 0.0000413935 0.0000376603 0.0000174998 0.0000563394 0.0000280784 0.0000431758
1403715532.21214 0.699877 1.217491 1.006983 -0.790678 -0.118089 -0.594238 0.088117 0.0000043886 0.0000010369 -0.0000009354 0.0000029211 -0.0000000254 0.0000014590 0.0000444271 0.0000400830 0.0000179796 0.0000575305 0.0000275682 0.0000427856
1403715532.26214 0.713198 1.229224 1.006395 -0.790012 -0.118850 -0.594714 0.089840 0.0000044717 0.0000010380 -0.0000009664 0.0000029298 -0.0000000276 0.0000014703 0.0000472667 0.0000423845 0.0000184171 0.0000590480 0.0000274319 0.0000425949
1403715532.31214 0.723272 1.237032 1.010370 -0.790347 -0.119157 -0.593597 0.093784 0.0000045509 0.0000010302 -0.0000010091 0.0000029206 -0.0000000370 0.0000014902 0.0000498311 0.0000445010 0.0000186658 0.0000608410 0.0000272677 0.0000421097
1403715532.36214 0.732359 1.248499 1.008551 -0.792183 -0.118996 -0.590460 0.098200 0.0000046320 0.0000010110 -0.0000010620 0.0000029106 -0.0000000396 0.0000015222 0.0000525073 0.0000468199 0.0000188928 0.0000628901 0.0000271022 0.0000421046
1403715532.41214 0.738947 1.261895 1.003552 -0.793378 -0.117852 -0.588175 0.103504 0.0000047124 0.0000009821 -0.0000011011 0.0000028927 -0.0000000437 0.0000015237 0.0000547331 0.0000489581 0.0000185646 0.0000649197 0.0000270290 0.0000412605
1403715532.46214 0.746621 1.272422 1.002915 -0.794615 -0.117392 -0.585850 0.107641 0.0000047707 0.0000009679 -0.0000011347 0.0000018660 -0.0000001143 0.0000015381 0.0000522778 0.0000484530 0.0000186640 0.0000656087 0.0000266988 0.0000405801
