# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715893.33406 0.000814 -0.000042 -0.000838 0.824809 -0.029051 0.563028 0.042951 0.0001688276 -0.0000355181 0.0003374098 0.0010346509 0.0000138181 0.0009048380 0.0000676092 -0.0000000000 -0.0000001444 0.0000676093 0.0000000069 0.0000364357
1403715893.38406 0.001443 0.000118 -0.001095 0.824771 -0.028937 0.563083 0.043047 0.0001902490 -0.0000357820 0.0003372949 0.0010561308 0.0000139148 0.0009264409 0.0001381324 -0.0000000000 -0.0000004096 0.0001381325 -0.0000000347 0.0000584503
1403715893.43406 0.002467 0.000330 -0.000494 0.824198 -0.028955 0.563943 0.042745 0.0002153403 -0.0000352359 0.0003358104 0.0010826792 0.0000136199 0.0009543053 0.0002571849 -0.0000000000 -0.0000010296 0.0002571850 -0.0000001404 0.0000859079
1403715893.48406 0.003458 0.000839 0.002218 0.820893 -0.028494 0.568877 0.041256 0.0002389035 -0.0000330660 0.0003271084 0.0011143625 0.0000123375 0.0009935607 0.0004471060 -0.0000000001 -0.0000020002 0.0004471062 -0.0000004934 0.0001190081
1403715893.53406 0.004738 0.002137 0.006004 0.815893 -0.028271 0.576215 0.038666 0.0002638956 -0.0000287553 0.0003137988 0.0011511793 0.0000101614 0.0010412374 0.0007330288 -0.0000000005 -0.0000036380 0.0007330290 -0.0000016709 0.0001579947
1403715893.58406 0.006840 0.003984 0.010748 0.811279 -0.028408 0.582826 0.036511 0.0002953574 -0.0000247521 0.0003013477 0.0011929267 0.0000083135 0.0010924742 0.0011451647 -0.0000000015 -0.0000067587 0.0011451647 -0.0000040043 0.0002031568
1403715893.63406 0.008713 0.006720 0.016082 0.807183 -0.029532 0.588602 0.033624 0.0003333243 -0.0000185613 0.0002902693 0.0012397239 0.0000059675 0.0011470937 0.0017177948 -0.0000000034 -0.0000107573 0.0017177935 -0.0000084659 0.0002548094
1403715893.68406 0.010253 0.009994 0.021211 0.805569 -0.030056 0.590906 0.031376 0.0003814780 -0.0000142949 0.0002858901 0.0012913696 0.0000045430 0.0012016214 0.0024881698 -0.0000000059 -0.0000154391 0.0024881644 -0.0000154308 0.0003133057
1403715893.73406 0.011683 0.013250 0.027064 0.805253 -0.031096 0.591390 0.029304 0.0004372353 -0.0000098705 0.0002851488 0.0013479723 0.0000031769 0.0012585655 0.0035033924 -0.0000000093 -0.0000210796 0.0035033789 -0.0000246154 0.0003790300
1403715893.78406 0.012586 0.016819 0.033659 0.805991 -0.031181 0.590383 0.029244 0.0005000743 -0.0000097499 0.0002872107 0.0014094581 0.0000032025 0.0013185425 0.0048144142 -0.0000000115 -0.0000267255 0.0048143868 -0.0000370721 0.0004524077
1403715893.83406 0.013354 0.021032 0.040296 0.808769 -0.029917 0.586547 0.030989 0.0005720059 -0.0000141735 0.0002947292 0.0014758247 0.0000047767 0.0013795775 0.0064744267 -0.0000000095 -0.0000329160 0.0064743683 -0.0000543774 0.0005339352
1403715893.88406 -0.037565 0.027778 0.050993 0.805544 -0.030510 0.590858 0.032472 0.0001605865 -0.0000003375 0.0000469907 0.0006327634 0.0000235130 0.0001383381 0.0028435099 -0.0001104213 0.0000291932 0.0005946054 0.0000530064 0.0004573062
