# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715893.38406 0.000037 -0.001025 -0.002712 0.824435 -0.030588 0.563468 0.043294 0.0003719830 -0.0000343959 0.0003365972 0.0012387511 0.0000133367 0.0011096048 0.0016709966 -0.0000000000 -0.0000001982 0.0016709971 0.0000011856 0.0002546829
1403715893.43406 0.000989 -0.001000 -0.002191 0.823708 -0.030692 0.564554 0.042908 0.0004217026 -0.0000336074 0.0003347191 0.0012903169 0.0000129320 0.0011628220 0.0024170512 -0.0000000001 -0.0000017378 0.0024170524 0.0000013848 0.0003130913
1403715893.48406 0.001862 -0.000720 0.000493 0.820243 -0.030315 0.569713 0.041343 0.0004699292 -0.0000311876 0.0003255869 0.0013470086 0.0000115648 0.0012273983 0.0034066815 -0.0000000003 -0.0000037482 0.0034066837 0.0000011050 0.0003787054
1403715893.53406 0.002969 0.000302 0.004305 0.815076 -0.030174 0.577273 0.038682 0.0005196277 -0.0000266159 0.0003118058 0.0014088196 0.0000093332 0.0013003450 0.0046883850 -0.0000000011 -0.0000069465 0.0046883884 -0.0000010423 0.0004519546
1403715893.58406 0.004825 0.001816 0.009130 0.810292 -0.030394 0.584102 0.036454 0.0005758044 -0.0000223432 0.0002988696 0.0014755561 0.0000074423 0.0013768072 0.0063189283 -0.0000000034 -0.0000130895 0.0063189326 -0.0000053202 0.0005333146
1403715893.63406 0.006367 0.004164 0.014599 0.806020 -0.031599 0.590094 0.033490 0.0006384928 -0.0000158709 0.0002872943 0.0015473220 0.0000050752 0.0014566082 0.0083596812 -0.0000000064 -0.0000199389 0.0083596840 -0.0000135805 0.0006232867
1403715893.68406 0.007478 0.006990 0.019914 0.804237 -0.032204 0.592617 0.031157 0.0007113067 -0.0000113266 0.0002824472 0.0016239381 0.0000036190 0.0015363268 0.0108744368 -0.0000000088 -0.0000267875 0.0108744325 -0.0000259071 0.0007224104
1403715893.73406 0.008362 0.009728 0.026005 0.803753 -0.033326 0.593321 0.028995 0.0007916964 -0.0000066192 0.0002812586 0.0017055012 0.0000022202 0.0016184766 0.0139454575 -0.0000000107 -0.0000339871 0.0139454345 -0.0000409543 0.0008312561
1403715893.78406 0.008589 0.012707 0.032888 0.804331 -0.033497 0.592535 0.028844 0.0008791126 -0.0000062208 0.0002829039 0.0017919734 0.0000021852 0.0017036801 0.0176578312 -0.0000000051 -0.0000391287 0.0176577788 -0.0000605124 0.0009504349
1403715893.83406 0.008540 0.016251 0.039864 0.806964 -0.032323 0.588926 0.030493 0.0009755296 -0.0000103876 0.0002900650 0.0018833647 0.0000036440 0.0017900159 0.0220971873 0.0000000202 -0.0000431579 0.0220970684 -0.0000871908 0.0010806298
1403715893.88406 0.008004 0.019988 0.046841 0.810805 -0.032890 0.583594 0.030514 0.0010796848 -0.0000102573 0.0003006904 0.0019798405 0.0000038024 0.0018786332 0.0273616906 0.0000000695 -0.0000441495 0.0273614604 -0.0001201821 0.0012225223
1403715893.93406 -0.071062 0.064233 0.058404 0.806835 -0.031946 0.588859 0.035245 0.0003517485 -0.0000051115 0.0001651241 0.0008354325 -0.0000771044 0.0009287984 0.0159161859 -0.0010928263 -0.0011173238 0.0121484540 -0.0002476451 0.0010522354
1403715893.98406 -0.080727 0.073619 0.066511 0.810299 -0.032477 0.584034 0.035560 0.0003769742 -0.0000085404 0.0001618373 0.0008648237 -0.0000924304 0.0009878678 0.0193032266 -0.0012519225 -0.0009919159 0.0149424093 -0.0004714528 0.0011570620
1403715894.03406 -0.090783 0.083558 0.074731 0.814561 -0.033456 0.578018 0.035579 0.0004113967 -0.0000092856 0.0001725554 0.0008945952 -0.0001092677 0.0010419252 0.0232149971 -0.0014170349 -0.0011353363 0.0181781510 -0.0005642626 0.0012935624
1403715894.08406 -0.125951 0.130572 0.111111 0.817765 -0.036001 0.572790 0.043309 0.0003293892 0.0000162676 0.0001098991 0.0001680999 -0.0000182572 0.0000636750 0.0033551432 0.0001337720 -0.0005131414 0.0050604156 0.0001736460 0.0005370971
1403715894.13406 -0.106277 0.120180 0.123792 0.820528 -0.034225 0.568873 0.044109 0.0002280599 0.0000172622 0.0000638664 0.0000533959 -0.0000051541 0.0000329078 0.0013646198 0.0000233492 -0.0000690108 0.0040528599 0.0002892159 0.0003939499
1403715894.18406 -0.106859 0.113433 0.138310 0.819012 -0.030330 0.570973 0.047837 0.0001204918 0.0000052039 0.0000323660 0.0000314512 -0.0000047468 0.0000238907 0.0011188586 -0.0000483246 -0.0001176643 0.0022933547 0.0001867482 0.0002634714
1403715894.23406 -0.099531 0.127057 0.154608 0.816292 -0.026917 0.574557 0.053177 0.0000572101 0.0000043127 0.0000149682 0.0000117406 -0.0000008682 0.0000137517 0.0003725668 0.0000565387 -0.0001090076 0.0013149758 0.0001670026 0.0002650614
1403715894.28406 -0.102316 0.148319 0.171374 0.813105 -0.022818 0.578511 0.060528 0.0000264839 0.0000017541 0.0000046691 0.0000063021 -0.0000008392 0.0000089132 0.0002972371 -0.0000746017 -0.0001192109 0.0006784003 0.0001695370 0.0002740197
1403715894.33406 -0.108238 0.168376 0.191044 0.811266 -0.020234 0.580540 0.066416 0.0000134153 0.0000013011 0.0000017073 0.0000052757 -0.0000000763 0.0000044791 0.0002757260 -0.0001042383 -0.0001229216 0.0004086594 0.0001559164 0.0002170927
1403715894.38406 -0.083107 0.178935 0.198274 0.810128 -0.018208 0.581662 0.070930 0.0000086454 0.0000014245 0.0000006221 0.0000041022 -0.0000001266 0.0000041097 0.0002047648 -0.0001078422 -0.0001085271 0.0003260504 0.0001606304 0.0002184804
1403715894.43406 -0.064684 0.177628 0.203495 0.810004 -0.017697 0.581637 0.072657 0.0000079843 0.0000015715 0.0000004080 0.0000042144 -0.0000000777 0.0000027874 0.0001618920 -0.0000880616 -0.0000885144 0.0003053944 0.0001479206 0.0001822087
1403715894.48406 -0.052613 0.167945 0.208167 0.811658 -0.018044 0.579525 0.070969 0.0000062737 0.0000018650 0.0000004858 0.0000043352 -0.0000001593 0.0000027948 0.0001358145 -0.0000547284 -0.0000726388 0.0002442097 0.0001333162 0.0001715144
1403715894.53406 -0.047398 0.181718 0.215955 0.814178 -0.020415 0.576121 0.069144 0.0000062683 0.0000020147 0.0000004206 0.0000044720 -0.0000002008 0.0000028607 0.0001162485 -0.0000267241 -0.0000520790 0.0002075453 0.0001080365 0.0001541050
1403715894.58406 -0.047058 0.203091 0.226163 0.816131 -0.022381 0.573350 0.068556 0.0000063050 0.0000019914 0.0000004286 0.0000045477 -0.0000002366 0.0000029112 0.0001072527 -0.0000191452 -0.0000432347 0.0001984559 0.0001008751 0.0001493896
1403715894.63406 -0.046886 0.220244 0.231652 0.817623 -0.024684 0.571348 0.066662 0.0000065977 0.0000021152 0.0000003581 0.0000047902 -0.0000003071 0.0000029726 0.0001037187 -0.0000116766 -0.0000357845 0.0001931412 0.0000952255 0.0001470863
1403715894.68406 -0.043922 0.248682 0.249037 0.819751 -0.027455 0.568521 0.063543 0.0000067069 0.0000021387 0.0000003231 0.0000046514 -0.0000004736 0.0000029918 0.0001016955 -0.0000040037 -0.0000298172 0.0001729555 0.0000717314 0.0001199778
1403715894.73406 -0.043870 0.269666 0.258426 0.819754 -0.030284 0.568727 0.060298 0.0000069085 0.0000021556 0.0000002868 0.0000047275 -0.0000005138 0.0000029346 0.0000999292 0.0000004593 -0.0000252608 0.0001715068 0.0000672860 0.0001160585
1403715894.78406 -0.041311 0.292426 0.267815 0.818708 -0.033064 0.570438 0.056794 0.0000071620 0.0000022025 0.0000002818 0.0000048293 -0.0000004722 0.0000028917 0.0000997164 0.0000048153 -0.0000206709 0.0001739490 0.0000663985 0.0001151441
1403715894.83406 -0.035910 0.318779 0.280744 0.817086 -0.035281 0.572863 0.054347 0.0000073234 0.0000021509 0.0000002592 0.0000048384 -0.0000005180 0.0000029494 0.0000995727 0.0000078421 -0.0000179273 0.0001749932 0.0000629858 0.0001124721
1403715894.88406 -0.028922 0.347174 0.295621 0.815284 -0.036635 0.575475 0.052898 0.0000074647 0.0000021013 0.0000002432 0.0000048255 -0.0000005700 0.0000030082 0.0000991470 0.0000102836 -0.0000155504 0.0001798070 0.0000620697 0.0001107549
1403715894.93406 -0.022861 0.374884 0.313250 0.813634 -0.037342 0.577805 0.052405 0.0000074329 0.0000018696 0.0000003769 0.0000045535 -0.0000004011 0.0000029522 0.0000987636 0.0000119904 -0.0000144237 0.0001855285 0.0000617042 0.0001075183
1403715894.98406 -0.017089 0.403805 0.328097 0.812286 -0.038130 0.579717 0.051628 0.0000076511 0.0000019120 0.0000003484 0.0000045966 -0.0000004210 0.0000029773 0.0000993055 0.0000144152 -0.0000123222 0.0001939257 0.0000635743 0.0001069417
1403715895.03406 -0.010553 0.431735 0.345073 0.811669 -0.039055 0.580580 0.050933 0.0000079014 0.0000019184 0.0000003636 0.0000045736 -0.0000004265 0.0000030067 0.0001000385 0.0000173198 -0.0000109219 0.0002032855 0.0000650907 0.0001065465
1403715895.08406 -0.005290 0.460034 0.359875 0.811361 -0.038950 0.580952 0.051682 0.0000080150 0.0000018869 0.0000004286 0.0000046132 -0.0000003641 0.0000029747 0.0001011832 0.0000205031 -0.0000086353 0.0002137232 0.0000682033 0.0001081111
1403715895.13406 0.001487 0.487158 0.375507 0.811524 -0.040460 0.580736 0.050370 0.0000082605 0.0000018789 0.0000004199 0.0000046040 -0.0000003420 0.0000029876 0.0001022616 0.0000238472 -0.0000067851 0.0002249687 0.0000714303 0.0001095534
1403715895.18406 0.004924 0.511121 0.388578 0.811500 -0.041068 0.580830 0.049172 0.0000082592 0.0000017682 0.0000005118 0.0000045861 -0.0000002343 0.0000028713 0.0001029489 0.0000269461 -0.0000045650 0.0002340661 0.0000749991 0.0001117136
1403715895.23406 0.009463 0.534175 0.400300 0.811760 -0.042611 0.580501 0.047421 0.0000084508 0.0000018387 0.0000003987 0.0000047020 -0.0000002605 0.0000028449 0.0001047648 0.0000299079 -0.0000019781 0.0002398215 0.0000779802 0.0001139851
