# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1544590803.19989 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590803.29993 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590803.39992 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590803.49996 0.000655 -0.001189 -0.000355 0.009011 0.014669 -0.000111 0.999852 0.0000138398 0.0000000064 0.0000003569 0.0000138463 -0.0000002192 0.0000016902 0.0007813283 -0.0000000000 0.0000000109 0.0007813283 -0.0000000001 0.0007616188
1544590803.59985 0.000665 -0.001210 -0.000352 0.009013 0.014678 -0.000109 0.999852 0.0000138376 0.0000000064 0.0000003569 0.0000138441 -0.0000002192 0.0000016881 0.0007813281 0.0000000000 0.0000000108 0.0007813281 -0.0000000000 0.0007616187
1544590803.69994 0.000381 -0.001300 -0.000049 0.008883 0.014675 -0.000099 0.999853 0.0000138565 0.0000000063 0.0000003571 0.0000138631 -0.0000002161 0.0000017069 0.0009859279 0.0000000001 0.0000000223 0.0009859279 -0.0000000025 0.0009579350
1544590803.79972 0.000402 -0.001283 -0.000040 0.008873 0.014678 -0.000097 0.999853 0.0000138526 0.0000000063 0.0000003571 0.0000138593 -0.0000002161 0.0000017031 0.0009859276 0.0000000001 0.0000000223 0.0009859276 -0.0000000025 0.0009579347
1544590803.89988 0.000399 -0.001283 -0.000043 0.008876 0.014679 -0.000094 0.999853 0.0000138522 0.0000000063 0.0000003571 0.0000138588 -0.0000002161 0.0000017027 0.0009859276 0.0000000001 0.0000000223 0.0009859276 -0.0000000025 0.0009579347
1544590803.99981 0.000400 -0.001284 -0.000043 0.008878 0.014678 -0.000095 0.999853 0.0000138522 0.0000000063 0.0000003571 0.0000138588 -0.0000002161 0.0000017026 0.0009859276 0.0000000001 0.0000000223 0.0009859276 -0.0000000025 0.0009579347
1544590804.10156 0.000400 -0.001284 -0.000043 0.008878 0.014679 -0.000094 0.999853 0.0000138521 0.0000000063 0.0000003571 0.0000138588 -0.0000002161 0.0000017026 0.0009859276 0.0000000001 0.0000000223 0.0009859276 -0.0000000025 0.0009579347
1544590804.20008 0.000400 -0.001284 -0.000043 0.008878 0.014679 -0.000094 0.999853 0.0000138521 0.0000000063 0.0000003571 0.0000138588 -0.0000002161 0.0000017026 0.0009859276 0.0000000001 0.0000000223 0.0009859276 -0.0000000025 0.0009579347
1544590804.30009 0.000400 -0.001284 -0.000043 0.008878 0.014679 -0.000095 0.999853 0.0000138521 0.0000000063 0.0000003571 0.0000138588 -0.0000002161 0.0000017026 0.0009859276 0.0000000001 0.0000000223 0.0009859276 -0.0000000025 0.0009579347
1544590804.40007 0.000400 -0.001284 -0.000043 0.008878 0.014679 -0.000095 0.999853 0.0000138521 0.0000000063 0.0000003571 0.0000138588 -0.0000002161 0.0000017026 0.0009859276 0.0000000001 0.0000000223 0.0009859276 -0.0000000025 0.0009579347
