# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.31214 0.000029 0.004494 0.008265 0.827853 -0.012642 0.560526 0.017615 0.0003829060 -0.0000139210 0.0003444790 0.0012448145 0.0000055624 0.0011073972 0.0017630351 0.0000000002 0.0000000114 0.0017630347 -0.0000055822 0.0002602300
1403715278.36214 -0.000344 0.005103 0.010498 0.827372 -0.013293 0.561191 0.018529 0.0004337752 -0.0000146254 0.0003432557 0.0012967927 0.0000058154 0.0011605532 0.0025415118 0.0000000003 0.0000006157 0.0025415114 -0.0000076989 0.0003193450
1403715278.41214 -0.000285 0.005807 0.012934 0.827146 -0.013515 0.561488 0.019428 0.0004902739 -0.0000157656 0.0003426729 0.0013537533 0.0000062542 0.0012180958 0.0035633651 0.0000000003 0.0000006241 0.0035633643 -0.0000104792 0.0003857070
1403715278.46214 0.000849 0.006823 0.015472 0.826262 -0.014621 0.562771 0.019135 0.0005501154 -0.0000141126 0.0003404386 0.0014158115 0.0000055479 0.0012821971 0.0048779191 -0.0000000005 -0.0000018902 0.0048779170 -0.0000145739 0.0004597501
1403715278.51214 0.003268 0.008210 0.018516 0.824959 -0.015618 0.564649 0.019237 0.0006139967 -0.0000131495 0.0003370955 0.0014828423 0.0000051003 0.0013522803 0.0065427673 -0.0000000034 -0.0000088191 0.0065427651 -0.0000205920 0.0005419571
1403715278.56214 0.007006 0.010189 0.023372 0.822019 -0.016861 0.568900 0.018816 0.0006790728 -0.0000110038 0.0003294422 0.0015549023 0.0000041396 0.0014311266 0.0086289984 -0.0000000118 -0.0000221354 0.0086290026 -0.0000298498 0.0006328699
1403715278.61214 0.011949 0.012598 0.030328 0.819131 -0.018069 0.573033 0.018217 0.0007494685 -0.0000085958 0.0003218497 0.0016319542 0.0000031403 0.0015146280 0.0112121387 -0.0000000302 -0.0000436874 0.0112121650 -0.0000427830 0.0007330748
1403715278.66214 0.018185 0.015562 0.039717 0.817826 -0.017673 0.574871 0.019295 0.0008285401 -0.0000106005 0.0003183262 0.0017139075 0.0000038241 0.0015995138 0.0143773406 -0.0000000663 -0.0000763134 0.0143774176 -0.0000608721 0.0008432255
1403715278.71214 0.025487 0.019235 0.052065 0.816385 -0.019295 0.576915 0.017668 0.0009123228 -0.0000062420 0.0003145671 0.0018009861 0.0000022314 0.0016895468 0.0182220845 -0.0000001304 -0.0001219102 0.0182222505 -0.0000862125 0.0009640221
1403715278.76214 0.051095 0.010098 0.055577 0.817181 -0.019381 0.575877 0.014348 0.0004496224 -0.0000413315 -0.0000657393 0.0002839985 0.0000501230 0.0001631874 0.0004554484 0.0000208330 0.0003269334 0.0005522711 0.0000932503 0.0006544485
1403715278.81214 0.057712 0.012655 0.070550 0.814448 -0.021973 0.579672 0.013111 0.0001345184 0.0000463280 -0.0000004030 0.0001991915 0.0000119822 0.0000719541 0.0003636788 0.0001013678 0.0003169960 0.0003763379 0.0001288791 0.0006097326
1403715278.86214 0.073750 0.024763 0.091506 0.812026 -0.023314 0.583047 0.011205 0.0000022682 0.0000007006 0.0000031464 0.0000175937 -0.0000006348 0.0000104852 0.0000243398 0.0000021135 0.0000094025 0.0000171881 0.0000062089 0.0000337881
1403715278.91214 0.084358 0.026795 0.112358 0.811651 -0.023352 0.583573 0.010973 0.0000023707 0.0000008287 0.0000031108 0.0000178986 -0.0000006804 0.0000105647 0.0000238212 0.0000034037 0.0000121179 0.0000175084 0.0000068446 0.0000361098
1403715278.96214 0.094573 0.028687 0.132658 0.811130 -0.023162 0.584297 0.011300 0.0000024802 0.0000009143 0.0000030857 0.0000182489 -0.0000007172 0.0000106452 0.0000240446 0.0000047777 0.0000155281 0.0000179275 0.0000075414 0.0000389363
1403715279.01214 0.104134 0.030044 0.148755 0.810938 -0.022535 0.584571 0.012197 0.0000025829 0.0000009285 0.0000030809 0.0000179620 -0.0000006143 0.0000106667 0.0000251649 0.0000061680 0.0000195750 0.0000178662 0.0000076323 0.0000410308
1403715279.06214 0.114693 0.031830 0.161156 0.811258 -0.022499 0.584121 0.012544 0.0000026477 0.0000008953 0.0000030994 0.0000166648 -0.0000002351 0.0000104300 0.0000265020 0.0000068016 0.0000226807 0.0000175039 0.0000067005 0.0000404551
1403715279.11214 0.123316 0.032302 0.165766 0.810978 -0.022236 0.584512 0.012916 0.0000027255 0.0000008936 0.0000030852 0.0000159340 -0.0000001424 0.0000104343 0.0000287109 0.0000076611 0.0000259464 0.0000180553 0.0000065546 0.0000412429
1403715279.16214 0.130410 0.032455 0.165235 0.811141 -0.021449 0.584300 0.013550 0.0000028013 0.0000007815 0.0000030120 0.0000149431 -0.0000003271 0.0000103454 0.0000302628 0.0000078208 0.0000277666 0.0000187037 0.0000058382 0.0000408417
1403715279.21214 0.137261 0.033138 0.162105 0.811709 -0.020955 0.583512 0.014258 0.0000029072 0.0000007216 0.0000030511 0.0000145978 -0.0000002400 0.0000103596 0.0000326354 0.0000081748 0.0000303296 0.0000196086 0.0000054809 0.0000421364
1403715279.26214 0.141940 0.032065 0.155836 0.811811 -0.020437 0.583391 0.014182 0.0000028788 0.0000006548 0.0000029932 0.0000135377 -0.0000001145 0.0000102198 0.0000316157 0.0000075525 0.0000284816 0.0000198352 0.0000043553 0.0000382630
1403715279.31214 0.146779 0.031957 0.150762 0.812504 -0.020411 0.582429 0.014053 0.0000029660 0.0000006342 0.0000029983 0.0000132810 -0.0000001558 0.0000102170 0.0000327618 0.0000075042 0.0000294365 0.0000208661 0.0000039306 0.0000386064
1403715279.36214 0.148987 0.032096 0.144569 0.812962 -0.020784 0.581789 0.013547 0.0000030376 0.0000005926 0.0000030016 0.0000127397 -0.0000001087 0.0000101384 0.0000315720 0.0000072805 0.0000277251 0.0000216001 0.0000034405 0.0000362449
1403715279.41214 0.152307 0.033099 0.141197 0.813045 -0.021243 0.581674 0.012742 0.0000030188 0.0000005977 0.0000029105 0.0000124931 -0.0000001777 0.0000101015 0.0000308104 0.0000067133 0.0000265318 0.0000216138 0.0000028187 0.0000346208
1403715279.46214 0.153530 0.035823 0.136378 0.813632 -0.021421 0.580842 0.012889 0.0000026373 0.0000004690 0.0000027596 0.0000117890 -0.0000002017 0.0000098594 0.0000245149 0.0000044031 0.0000195890 0.0000164825 0.0000015916 0.0000262765
1403715279.51214 0.157288 0.036022 0.137093 0.813961 -0.021561 0.580386 0.012422 0.0000027405 0.0000005205 0.0000027459 0.0000119841 -0.0000002199 0.0000099129 0.0000262720 0.0000046477 0.0000209436 0.0000173920 0.0000016271 0.0000273166
1403715279.56214 0.160949 0.036153 0.139039 0.813963 -0.021044 0.580389 0.013021 0.0000028438 0.0000005578 0.0000027313 0.0000121954 -0.0000002338 0.0000099711 0.0000284703 0.0000048923 0.0000224301 0.0000184324 0.0000016452 0.0000283606
1403715279.61214 0.164210 0.036142 0.141965 0.814473 -0.021060 0.579669 0.013199 0.0000029617 0.0000006091 0.0000027294 0.0000124197 -0.0000002530 0.0000100229 0.0000311431 0.0000051528 0.0000240763 0.0000196284 0.0000016519 0.0000294402
