# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715528.76214 0.009700 0.006151 0.039843 0.816065 -0.036084 0.575968 0.031579 0.0003570123 -0.0000093981 0.0003152346 0.0012449256 0.0000033275 0.0011331080 0.0018443594 -0.0000000068 -0.0000125366 0.0018443606 -0.0000081474 0.0002603508
1403715528.81214 0.012019 0.007938 0.050550 0.815170 -0.036610 0.577154 0.032412 0.0004071246 -0.0000099840 0.0003128856 0.0012969085 0.0000035023 0.0011869996 0.0026672803 -0.0000000112 -0.0000189564 0.0026672804 -0.0000128041 0.0003195412
1403715528.86214 0.014169 0.010114 0.062072 0.813670 -0.036548 0.579218 0.033352 0.0004609208 -0.0000112806 0.0003088159 0.0013538728 0.0000038945 0.0012472205 0.0037483853 -0.0000000182 -0.0000267774 0.0037483808 -0.0000195607 0.0003859987
1403715528.91214 0.016220 0.012635 0.073872 0.812898 -0.037090 0.580242 0.033783 0.0005213257 -0.0000112423 0.0003067869 0.0014158691 0.0000038510 0.0013107973 0.0051377865 -0.0000000286 -0.0000361734 0.0051377732 -0.0000289119 0.0004601582
1403715528.96214 0.029233 0.031024 0.085989 0.813685 -0.038009 0.579034 0.034532 0.0003811889 0.0000155276 -0.0001174360 0.0000934984 -0.0000002606 0.0001142920 0.0000635884 0.0000076695 0.0000735312 0.0000486632 0.0000517882 0.0005033358
1403715529.01214 0.033731 0.034340 0.096615 0.815430 -0.030405 0.577250 0.030526 0.0001969170 0.0000087142 -0.0000519881 0.0000612111 -0.0000070910 0.0000664434 0.0000578886 0.0000121247 0.0000892028 0.0000461469 0.0000636589 0.0005038271
1403715529.06214 0.035031 0.039917 0.103980 0.815687 -0.033024 0.576791 0.029587 0.0000861317 0.0000168150 -0.0000197694 0.0000451185 -0.0000004275 0.0000488590 0.0000418258 0.0000046697 0.0000114804 0.0000364360 0.0000071199 0.0000359255
1403715529.11214 0.039066 0.046264 0.117308 0.816065 -0.028611 0.576704 0.025144 0.0000528593 0.0000188630 -0.0000116401 0.0000325898 -0.0000023273 0.0000373057 0.0000375844 0.0000056492 0.0000104232 0.0000339250 0.0000072031 0.0000246490
1403715529.16214 0.044993 0.057650 0.138773 0.819115 -0.024302 0.572613 0.023959 0.0000538567 0.0000177869 -0.0000166317 0.0000302931 -0.0000072780 0.0000370718 0.0000388047 0.0000045629 0.0000106101 0.0000325592 0.0000030386 0.0000167055
1403715529.21214 0.051336 0.066024 0.155864 0.821029 -0.019717 0.570205 0.019725 0.0000473712 0.0000140851 -0.0000142954 0.0000266082 -0.0000056570 0.0000261667 0.0000380242 0.0000023881 0.0000100880 0.0000257038 0.0000009270 0.0000111777
1403715529.26214 0.054993 0.073151 0.174288 0.822870 -0.013829 0.567868 0.014791 0.0000284273 0.0000119170 -0.0000065432 0.0000211891 -0.0000052881 0.0000201440 0.0000288559 0.0000010676 0.0000081112 0.0000206198 0.0000000006 0.0000085668
1403715529.31214 0.060635 0.081700 0.193000 0.825001 -0.004513 0.565040 0.009161 0.0000189049 0.0000082977 -0.0000037812 0.0000179326 -0.0000049338 0.0000180919 0.0000217225 0.0000000946 0.0000072366 0.0000165852 -0.0000020708 0.0000072160
1403715529.36214 0.065075 0.089272 0.209894 0.826751 0.003240 0.562535 0.005114 0.0000144955 0.0000065470 -0.0000024278 0.0000165159 -0.0000041723 0.0000163313 0.0000197338 -0.0000003296 0.0000069913 0.0000128586 -0.0000023458 0.0000068660
1403715529.41214 0.072844 0.097780 0.225874 0.827894 0.012521 0.560745 0.000198 0.0000100314 0.0000053114 0.0000000707 0.0000155601 -0.0000034625 0.0000145099 0.0000172316 -0.0000003923 0.0000060847 0.0000110260 -0.0000022233 0.0000065396
1403715529.46214 0.080193 0.105932 0.238810 -0.827746 -0.020354 -0.560717 0.004257 0.0000084874 0.0000045508 0.0000006180 0.0000145787 -0.0000025816 0.0000135759 0.0000161493 -0.0000000696 0.0000055231 0.0000094697 -0.0000019536 0.0000064479
1403715529.51214 0.088007 0.113878 0.249826 -0.827286 -0.027591 -0.561042 0.008309 0.0000073615 0.0000040081 0.0000006207 0.0000140570 -0.0000023949 0.0000133752 0.0000153567 -0.0000001748 0.0000050110 0.0000083807 -0.0000017688 0.0000063944
1403715529.56214 0.096467 0.121768 0.259021 -0.826988 -0.033155 -0.561113 0.011977 0.0000064152 0.0000034651 0.0000013478 0.0000136332 -0.0000018466 0.0000125254 0.0000143642 0.0000004299 0.0000044283 0.0000077063 -0.0000011714 0.0000064502
1403715529.61214 0.105926 0.129579 0.266585 -0.826309 -0.037853 -0.561755 0.014529 0.0000057748 0.0000029556 0.0000022609 0.0000132291 -0.0000010740 0.0000118155 0.0000131315 0.0000014219 0.0000039314 0.0000080074 -0.0000008028 0.0000068316
1403715529.66214 0.114436 0.137889 0.272137 -0.825024 -0.042275 -0.563246 0.017382 0.0000050697 0.0000025465 0.0000019680 0.0000125876 -0.0000009224 0.0000115772 0.0000123556 0.0000011555 0.0000035188 0.0000075060 -0.0000001762 0.0000067784
1403715529.71214 0.123554 0.147066 0.277510 -0.823750 -0.047657 -0.564648 0.018348 0.0000049005 0.0000025076 0.0000019509 0.0000125162 -0.0000007531 0.0000114244 0.0000126643 0.0000013754 0.0000035719 0.0000076195 0.0000002242 0.0000072873
1403715529.76214 0.133962 0.155864 0.284390 -0.823412 -0.051768 -0.564726 0.019941 0.0000042461 0.0000020295 0.0000017244 0.0000117857 -0.0000005482 0.0000111386 0.0000116085 0.0000011912 0.0000033090 0.0000071705 0.0000008217 0.0000073787
1403715529.81214 0.144700 0.166270 0.292350 -0.822654 -0.054264 -0.565508 0.022280 0.0000041559 0.0000020023 0.0000015608 0.0000115603 -0.0000005691 0.0000111590 0.0000120471 0.0000011543 0.0000034745 0.0000076905 0.0000011592 0.0000077170
1403715529.86214 0.152261 0.179900 0.300511 -0.821822 -0.057577 -0.566336 0.023608 0.0000041501 0.0000020021 0.0000017297 0.0000115356 -0.0000003157 0.0000108259 0.0000117043 0.0000024233 0.0000037223 0.0000078742 0.0000014979 0.0000084869
1403715529.91214 0.162278 0.192916 0.310213 -0.820536 -0.058762 -0.567970 0.026039 0.0000041250 0.0000020037 0.0000016893 0.0000113033 -0.0000003502 0.0000108016 0.0000123694 0.0000030337 0.0000041493 0.0000084518 0.0000017801 0.0000092136
1403715529.96214 0.170494 0.205093 0.320840 -0.818642 -0.060110 -0.570459 0.028082 0.0000039879 0.0000018505 0.0000017587 0.0000110498 -0.0000001811 0.0000108146 0.0000119021 0.0000034027 0.0000044886 0.0000093973 0.0000021397 0.0000101675
1403715530.01214 0.180225 0.216745 0.332528 -0.816081 -0.062265 -0.573885 0.028132 0.0000037470 0.0000015916 0.0000018925 0.0000107900 0.0000000727 0.0000107818 0.0000112031 0.0000039401 0.0000047267 0.0000105347 0.0000027683 0.0000111168
1403715530.06214 0.191311 0.229552 0.346433 -0.812633 -0.064424 -0.578590 0.026646 0.0000036629 0.0000015139 0.0000017942 0.0000104011 0.0000000111 0.0000108481 0.0000115534 0.0000049135 0.0000053786 0.0000116145 0.0000032162 0.0000121152
1403715530.11214 0.201098 0.244852 0.360162 -0.809385 -0.067740 -0.582886 0.023455 0.0000035540 0.0000013630 0.0000017654 0.0000101416 0.0000000520 0.0000108485 0.0000119923 0.0000060069 0.0000057489 0.0000128155 0.0000039135 0.0000132400
1403715530.16214 0.209622 0.258549 0.374677 -0.808193 -0.070311 -0.584347 0.020461 0.0000035298 0.0000012833 0.0000017819 0.0000101092 0.0000001280 0.0000108668 0.0000125383 0.0000071394 0.0000062495 0.0000144478 0.0000048090 0.0000144998
1403715530.21214 0.218010 0.274249 0.391305 -0.808964 -0.072796 -0.583076 0.017329 0.0000035700 0.0000012859 0.0000017782 0.0000101868 0.0000001538 0.0000108926 0.0000136763 0.0000081436 0.0000070264 0.0000163204 0.0000057436 0.0000159247
1403715530.26214 0.225443 0.290903 0.410820 -0.810769 -0.074846 -0.580396 0.013846 0.0000036381 0.0000013160 0.0000017663 0.0000101879 0.0000000986 0.0000108123 0.0000151952 0.0000094507 0.0000079144 0.0000178999 0.0000070076 0.0000174234
1403715530.31214 0.232529 0.309575 0.434345 -0.812278 -0.076147 -0.578166 0.011444 0.0000036495 0.0000012891 0.0000017861 0.0000101190 0.0000001122 0.0000107954 0.0000162154 0.0000109562 0.0000084898 0.0000201733 0.0000082145 0.0000189369
1403715530.36214 0.238904 0.330729 0.460739 -0.813560 -0.074565 -0.576536 0.012858 0.0000037552 0.0000014338 0.0000017568 0.0000101651 0.0000000934 0.0000108569 0.0000187273 0.0000127884 0.0000096822 0.0000227998 0.0000094693 0.0000209441
1403715530.41214 0.243889 0.353626 0.490134 -0.814482 -0.072496 -0.575417 0.016093 0.0000038201 0.0000015038 0.0000016945 0.0000101188 0.0000000270 0.0000108798 0.0000204677 0.0000145529 0.0000106524 0.0000255133 0.0000108365 0.0000229070
1403715530.46214 0.250900 0.377935 0.523099 -0.815282 -0.071317 -0.574285 0.020622 0.0000038557 0.0000015558 0.0000016180 0.0000100832 -0.0000000364 0.0000108766 0.0000220180 0.0000159055 0.0000115284 0.0000281834 0.0000120509 0.0000249218
1403715530.51214 0.256028 0.403607 0.555595 -0.815264 -0.072726 -0.573980 0.024540 0.0000038692 0.0000016138 0.0000015145 0.0000100742 -0.0000001215 0.0000108203 0.0000237248 0.0000171243 0.0000124881 0.0000303432 0.0000133314 0.0000270652
1403715530.56214 0.261128 0.429435 0.586169 -0.815460 -0.074884 -0.573228 0.028757 0.0000039279 0.0000017237 0.0000014336 0.0000101166 -0.0000001423 0.0000108239 0.0000262804 0.0000194076 0.0000136479 0.0000336317 0.0000151272 0.0000293075
1403715530.61214 0.267959 0.460735 0.613571 -0.815540 -0.077507 -0.572624 0.031445 0.0000039507 0.0000017051 0.0000012600 0.0000099085 -0.0000003801 0.0000106991 0.0000290120 0.0000207290 0.0000155459 0.0000351318 0.0000172513 0.0000322193
1403715530.66214 0.270801 0.485098 0.637521 -0.814714 -0.079321 -0.573324 0.035335 0.0000039178 0.0000016459 0.0000010862 0.0000097727 -0.0000005379 0.0000106703 0.0000287750 0.0000201077 0.0000158376 0.0000363668 0.0000181559 0.0000346400
1403715530.71214 0.272026 0.509129 0.657871 -0.814035 -0.081629 -0.573701 0.039365 0.0000039047 0.0000015413 0.0000008869 0.0000095257 -0.0000007665 0.0000106498 0.0000289641 0.0000189808 0.0000168049 0.0000368177 0.0000194516 0.0000375386
1403715530.76214 0.277845 0.536833 0.679848 -0.813747 -0.084864 -0.573330 0.043671 0.0000037871 0.0000014200 0.0000007658 0.0000093247 -0.0000008826 0.0000106899 0.0000268168 0.0000172624 0.0000154189 0.0000376780 0.0000195083 0.0000386231
1403715530.81214 0.288566 0.568651 0.703855 -0.813660 -0.089787 -0.572306 0.048606 0.0000036556 0.0000013399 0.0000007105 0.0000092663 -0.0000009070 0.0000107240 0.0000245239 0.0000159771 0.0000127585 0.0000390215 0.0000189106 0.0000382640
1403715530.86214 0.294802 0.598575 0.723475 -0.813099 -0.095748 -0.571618 0.054363 0.0000036438 0.0000012986 0.0000006123 0.0000091678 -0.0000009934 0.0000107580 0.0000246318 0.0000155147 0.0000123307 0.0000406793 0.0000193387 0.0000397311
1403715530.91214 0.300047 0.627951 0.741465 -0.812774 -0.101715 -0.570534 0.059536 0.0000036831 0.0000012768 0.0000005073 0.0000090869 -0.0000010707 0.0000108312 0.0000261438 0.0000157358 0.0000131140 0.0000430941 0.0000204547 0.0000420572
1403715530.96214 0.310439 0.658548 0.763126 -0.812980 -0.107719 -0.568889 0.061859 0.0000036662 0.0000012369 0.0000004708 0.0000090779 -0.0000011203 0.0000108624 0.0000265927 0.0000156266 0.0000121448 0.0000453487 0.0000207501 0.0000426531
1403715531.01214 0.316411 0.687506 0.781316 -0.815474 -0.112144 -0.564023 0.065605 0.0000036643 0.0000011766 0.0000005191 0.0000089527 -0.0000011467 0.0000108746 0.0000259482 0.0000151596 0.0000112875 0.0000481446 0.0000212605 0.0000439634
1403715531.06214 0.320639 0.715208 0.795718 -0.819917 -0.116812 -0.556300 0.067980 0.0000037530 0.0000011813 0.0000005649 0.0000089436 -0.0000012394 0.0000109214 0.0000278394 0.0000157715 0.0000113195 0.0000520597 0.0000224536 0.0000461904
1403715531.11214 0.326564 0.743971 0.809827 -0.826068 -0.119927 -0.546162 0.070256 0.0000037678 0.0000011132 0.0000007220 0.0000088837 -0.0000012502 0.0000108760 0.0000271673 0.0000155595 0.0000101894 0.0000555890 0.0000233132 0.0000477020
1403715531.16214 0.334707 0.773744 0.825174 -0.831221 -0.122292 -0.537473 0.072378 0.0000038370 0.0000010780 0.0000008044 0.0000088007 -0.0000013081 0.0000108729 0.0000282659 0.0000160114 0.0000105217 0.0000596271 0.0000246402 0.0000496524
1403715531.21214 0.347161 0.804996 0.840899 -0.835604 -0.119837 -0.530125 0.079823 0.0000038797 0.0000010688 0.0000008757 0.0000086125 -0.0000012951 0.0000108192 0.0000270330 0.0000161984 0.0000106315 0.0000635640 0.0000256909 0.0000511485
1403715531.26214 0.354956 0.833133 0.854531 -0.834515 -0.116592 -0.531063 0.089232 0.0000039358 0.0000011368 0.0000007496 0.0000084154 -0.0000012971 0.0000108758 0.0000267625 0.0000163394 0.0000102378 0.0000677755 0.0000268742 0.0000533571
1403715531.31214 0.368359 0.860592 0.865245 -0.830718 -0.113354 -0.536203 0.097697 0.0000039420 0.0000011577 0.0000005669 0.0000082414 -0.0000012716 0.0000108666 0.0000264270 0.0000168526 0.0000109766 0.0000717385 0.0000283841 0.0000546620
1403715531.36214 0.382465 0.886240 0.880003 -0.825559 -0.111058 -0.543370 0.104246 0.0000040043 0.0000012260 0.0000003603 0.0000081772 -0.0000012315 0.0000108840 0.0000272057 0.0000181877 0.0000115038 0.0000762418 0.0000298620 0.0000566618
1403715531.41214 0.401003 0.912447 0.896843 -0.821178 -0.109722 -0.549471 0.108208 0.0000040340 0.0000012397 0.0000002488 0.0000080767 -0.0000011157 0.0000107826 0.0000272708 0.0000202185 0.0000120915 0.0000809699 0.0000314316 0.0000590854
1403715531.46214 0.419108 0.938058 0.911653 -0.817517 -0.110000 -0.554652 0.109216 0.0000040717 0.0000012353 0.0000001666 0.0000080271 -0.0000010296 0.0000106694 0.0000278912 0.0000226660 0.0000132239 0.0000853772 0.0000326141 0.0000611171
1403715531.51214 0.436498 0.959627 0.918073 -0.814496 -0.110757 -0.558755 0.110101 0.0000041232 0.0000012760 0.0000000087 0.0000079408 -0.0000009306 0.0000105350 0.0000290406 0.0000247238 0.0000138061 0.0000861631 0.0000332545 0.0000634752
1403715531.56214 0.456560 0.988897 0.926003 -0.812858 -0.111327 -0.560956 0.110436 0.0000041425 0.0000012562 -0.0000000956 0.0000078460 -0.0000008510 0.0000103982 0.0000294363 0.0000264201 0.0000148545 0.0000853105 0.0000324418 0.0000639153
1403715531.61214 0.475958 1.015443 0.930328 -0.812611 -0.110924 -0.561077 0.112034 0.0000042000 0.0000012790 -0.0000001719 0.0000077550 -0.0000007763 0.0000103307 0.0000307049 0.0000283141 0.0000154925 0.0000851840 0.0000315125 0.0000653561
1403715531.66214 0.496985 1.039923 0.934027 -0.813615 -0.109886 -0.559473 0.113780 0.0000042600 0.0000013087 -0.0000002182 0.0000076706 -0.0000007042 0.0000102690 0.0000319430 0.0000300966 0.0000159680 0.0000853850 0.0000305396 0.0000665313
1403715531.71214 0.520639 1.069089 0.936623 -0.813311 -0.111685 -0.560137 0.110899 0.0000042599 0.0000012974 -0.0000003201 0.0000076656 -0.0000006660 0.0000100757 0.0000327573 0.0000302510 0.0000152918 0.0000812608 0.0000289726 0.0000668292
1403715531.76214 0.543781 1.092485 0.940136 -0.812620 -0.114827 -0.561497 0.105763 0.0000042992 0.0000012956 -0.0000003756 0.0000076418 -0.0000006473 0.0000100482 0.0000344235 0.0000318928 0.0000153926 0.0000829290 0.0000279981 0.0000674598
1403715531.81214 0.566063 1.115189 0.942169 -0.809538 -0.117902 -0.566270 0.100429 0.0000043493 0.0000012811 -0.0000004545 0.0000076291 -0.0000006024 0.0000099863 0.0000362410 0.0000342299 0.0000157877 0.0000833893 0.0000263473 0.0000678025
1403715531.86214 0.588344 1.133213 0.944427 -0.805893 -0.120235 -0.571705 0.096091 0.0000043973 0.0000012604 -0.0000005444 0.0000075547 -0.0000005477 0.0000099521 0.0000381124 0.0000371409 0.0000166081 0.0000838552 0.0000238123 0.0000671710
1403715531.91214 0.610501 1.152035 0.948488 -0.802614 -0.121211 -0.576528 0.093459 0.0000044768 0.0000012622 -0.0000006363 0.0000075537 -0.0000005325 0.0000098910 0.0000401107 0.0000387029 0.0000161666 0.0000851730 0.0000215513 0.0000659236
1403715531.96214 0.629758 1.166802 0.951230 -0.799461 -0.121999 -0.581163 0.090704 0.0000045428 0.0000012628 -0.0000007128 0.0000075621 -0.0000005304 0.0000096693 0.0000420918 0.0000406223 0.0000158533 0.0000846640 0.0000195361 0.0000638646
1403715532.01214 0.646254 1.176522 0.951161 -0.797697 -0.121972 -0.583745 0.089687 0.0000046134 0.0000012694 -0.0000007854 0.0000075758 -0.0000005655 0.0000094970 0.0000440998 0.0000421531 0.0000156566 0.0000841661 0.0000180220 0.0000623864
1403715532.06214 0.661501 1.184733 0.950861 -0.796123 -0.122724 -0.586014 0.087832 0.0000046668 0.0000012627 -0.0000008659 0.0000075751 -0.0000005804 0.0000093893 0.0000456863 0.0000432116 0.0000155246 0.0000825431 0.0000166834 0.0000622071
1403715532.11214 0.676082 1.200335 0.950758 -0.795114 -0.124005 -0.587491 0.085270 0.0000047155 0.0000012561 -0.0000009184 0.0000075701 -0.0000005849 0.0000093704 0.0000471326 0.0000439445 0.0000152165 0.0000802685 0.0000139183 0.0000618071
1403715532.16214 0.688734 1.212130 0.951531 -0.794136 -0.124221 -0.588853 0.084670 0.0000047348 0.0000012175 -0.0000010028 0.0000074667 -0.0000007128 0.0000091762 0.0000471929 0.0000426854 0.0000147480 0.0000761082 0.0000120364 0.0000593094
1403715532.21214 0.700287 1.221419 0.949498 -0.793598 -0.124042 -0.589552 0.085115 0.0000047862 0.0000012151 -0.0000010553 0.0000074176 -0.0000007878 0.0000090579 0.0000481092 0.0000426906 0.0000145112 0.0000739914 0.0000105450 0.0000581117
1403715532.26214 0.710029 1.231019 0.947780 -0.792766 -0.125051 -0.590164 0.087126 0.0000048331 0.0000011871 -0.0000011270 0.0000073419 -0.0000008456 0.0000089898 0.0000480062 0.0000417364 0.0000140771 0.0000715208 0.0000092611 0.0000572970
1403715532.31214 0.718352 1.241191 0.945229 -0.793154 -0.125812 -0.588942 0.090690 0.0000048902 0.0000011824 -0.0000011845 0.0000072536 -0.0000008894 0.0000089729 0.0000479889 0.0000411288 0.0000135957 0.0000702215 0.0000078480 0.0000564438
1403715532.36214 0.727382 1.252784 0.943663 -0.795028 -0.125547 -0.585770 0.095095 0.0000049363 0.0000011792 -0.0000012056 0.0000072071 -0.0000009047 0.0000089872 0.0000481230 0.0000408775 0.0000127946 0.0000693203 0.0000063286 0.0000561552
1403715532.41214 0.735654 1.266360 0.941711 -0.796259 -0.124095 -0.583510 0.100442 0.0000049975 0.0000011932 -0.0000012301 0.0000070903 -0.0000009986 0.0000088981 0.0000481639 0.0000406445 0.0000115363 0.0000686339 0.0000053871 0.0000538171
1403715532.46214 0.744322 1.277548 0.941942 -0.797468 -0.123451 -0.581260 0.104599 0.0000050600 0.0000012029 -0.0000012438 0.0000070620 -0.0000010060 0.0000089053 0.0000484960 0.0000411241 0.0000103465 0.0000692044 0.0000038894 0.0000535091
