# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715893.38406 0.000037 -0.001025 -0.002712 0.824435 -0.030588 0.563468 0.043294 0.0003719830 -0.0000343959 0.0003365972 0.0012387511 0.0000133367 0.0011096048 0.0016709966 -0.0000000000 -0.0000001982 0.0016709971 0.0000011856 0.0002546829
1403715893.43406 0.000989 -0.001000 -0.002191 0.823708 -0.030692 0.564554 0.042908 0.0004217026 -0.0000336074 0.0003347191 0.0012903169 0.0000129320 0.0011628220 0.0024170512 -0.0000000001 -0.0000017378 0.0024170524 0.0000013848 0.0003130913
1403715893.48406 0.001862 -0.000720 0.000493 0.820243 -0.030315 0.569713 0.041343 0.0004699292 -0.0000311876 0.0003255869 0.0013470086 0.0000115648 0.0012273983 0.0034066815 -0.0000000003 -0.0000037482 0.0034066837 0.0000011050 0.0003787054
1403715893.53406 0.002969 0.000302 0.004305 0.815076 -0.030174 0.577273 0.038682 0.0005196277 -0.0000266159 0.0003118058 0.0014088196 0.0000093332 0.0013003450 0.0046883850 -0.0000000011 -0.0000069465 0.0046883884 -0.0000010423 0.0004519546
1403715893.58406 0.004825 0.001816 0.009130 0.810292 -0.030394 0.584102 0.036454 0.0005758044 -0.0000223432 0.0002988696 0.0014755561 0.0000074423 0.0013768072 0.0063189283 -0.0000000034 -0.0000130895 0.0063189326 -0.0000053202 0.0005333146
1403715893.63406 0.006367 0.004164 0.014599 0.806020 -0.031599 0.590094 0.033490 0.0006384928 -0.0000158709 0.0002872943 0.0015473220 0.0000050752 0.0014566082 0.0083596812 -0.0000000064 -0.0000199389 0.0083596840 -0.0000135805 0.0006232867
1403715893.68406 0.007478 0.006990 0.019914 0.804237 -0.032204 0.592617 0.031157 0.0007113067 -0.0000113266 0.0002824472 0.0016239381 0.0000036190 0.0015363268 0.0108744368 -0.0000000088 -0.0000267875 0.0108744325 -0.0000259071 0.0007224104
1403715893.73406 0.008362 0.009728 0.026005 0.803753 -0.033326 0.593321 0.028995 0.0007916964 -0.0000066192 0.0002812586 0.0017055012 0.0000022202 0.0016184766 0.0139454575 -0.0000000107 -0.0000339871 0.0139454345 -0.0000409543 0.0008312561
1403715893.78406 0.008589 0.012707 0.032888 0.804331 -0.033497 0.592535 0.028844 0.0008791126 -0.0000062208 0.0002829039 0.0017919734 0.0000021852 0.0017036801 0.0176578312 -0.0000000051 -0.0000391287 0.0176577788 -0.0000605124 0.0009504349
1403715893.83406 0.008540 0.016251 0.039864 0.806964 -0.032323 0.588926 0.030493 0.0009755296 -0.0000103876 0.0002900650 0.0018833647 0.0000036440 0.0017900159 0.0220971873 0.0000000202 -0.0000431579 0.0220970684 -0.0000871908 0.0010806298
1403715893.88406 0.008004 0.019988 0.046841 0.810805 -0.032890 0.583594 0.030514 0.0010796848 -0.0000102573 0.0003006904 0.0019798405 0.0000038024 0.0018786332 0.0273616906 0.0000000695 -0.0000441495 0.0273614604 -0.0001201821 0.0012225223
1403715893.93406 -0.010741 0.049942 0.055333 0.809334 -0.033271 0.585346 0.035219 0.0005905549 0.0000788220 -0.0001831827 0.0001795498 0.0000454319 0.0002902818 0.0035893694 0.0014334758 -0.0004119104 0.0019050228 0.0000934171 0.0011652600
1403715893.98406 -0.014778 0.057716 0.063407 0.812723 -0.033809 0.580577 0.035610 0.0006413949 0.0000912643 -0.0002081258 0.0001922182 0.0000384818 0.0003241441 0.0042605519 0.0017949796 -0.0004637329 0.0023005620 0.0001192592 0.0013038333
1403715894.03406 -0.018992 0.065983 0.071605 0.816905 -0.034797 0.574613 0.035703 0.0006885608 0.0001007178 -0.0002398100 0.0002055970 0.0000314309 0.0003667543 0.0050353228 0.0021981082 -0.0005164852 0.0027276894 0.0001520705 0.0014560073
1403715894.08406 -0.048946 0.058338 0.082999 0.821466 -0.035961 0.568018 0.035446 0.0001583805 0.0000118014 0.0000132081 0.0000994855 0.0000024359 0.0001143667 0.0007320333 0.0002924115 -0.0000396504 0.0009780807 0.0002257582 0.0012629217
1403715894.13406 -0.050808 0.062870 0.091905 0.823713 -0.034326 0.564692 0.037976 0.0001451474 0.0000126868 0.0000043320 0.0000947253 0.0000097969 0.0000509569 0.0003623238 0.0000561175 0.0000427187 0.0007892602 0.0001883551 0.0011215665
1403715894.18406 -0.050375 0.059121 0.102248 0.822599 -0.029911 0.566327 0.041356 0.0001373959 0.0000188127 -0.0000006054 0.0000908029 0.0000079637 0.0000347781 0.0002875492 0.0000423209 0.0000274695 0.0007559638 0.0001495637 0.0011019481
1403715894.23406 -0.051590 0.069438 0.108752 0.819572 -0.027418 0.570404 0.046799 0.0000774837 0.0000264963 -0.0000054943 0.0000479522 -0.0000005038 0.0000190668 0.0002239848 0.0000537066 -0.0000669139 0.0004797433 0.0000566923 0.0006441962
1403715894.28406 -0.053917 0.080758 0.124803 0.816701 -0.022946 0.574091 0.053777 0.0000677428 0.0000225771 -0.0000018835 0.0000464098 0.0000024086 0.0000154947 0.0001944770 0.0000500735 -0.0000268020 0.0004527076 0.0000614134 0.0006312727
1403715894.33406 -0.056028 0.108405 0.135761 0.814975 -0.022693 0.575752 0.061721 0.0000543701 0.0000183393 0.0000006040 0.0000397711 0.0000031046 0.0000133182 0.0001804311 0.0000667184 0.0000061343 0.0003904544 0.0000673946 0.0005516788
1403715894.38406 -0.054999 0.122896 0.157616 0.814228 -0.020745 0.576330 0.066674 0.0000451560 0.0000095468 0.0000003296 0.0000280379 0.0000024537 0.0000124385 0.0001680557 0.0000673614 0.0000160337 0.0003652127 0.0000369456 0.0003981716
1403715894.43406 -0.057147 0.126154 0.171121 0.814422 -0.019223 0.575994 0.067660 0.0000398271 0.0000082965 0.0000007743 0.0000255275 0.0000022343 0.0000120957 0.0001619415 0.0000637351 0.0000292075 0.0003342092 0.0000417779 0.0003615625
1403715894.48406 -0.058894 0.123338 0.178798 0.816026 -0.018353 0.574095 0.064655 0.0000263491 0.0000068432 0.0000014670 0.0000230223 0.0000012045 0.0000115609 0.0001542469 0.0000650928 0.0000319793 0.0002551975 0.0000328109 0.0003095955
1403715894.53406 -0.059454 0.135190 0.190605 0.818800 -0.020172 0.570357 0.062070 0.0000248198 0.0000065361 0.0000011257 0.0000229867 0.0000008130 0.0000115100 0.0001535114 0.0000669322 0.0000415409 0.0002510610 0.0000273337 0.0003005544
1403715894.58406 -0.058787 0.151550 0.197797 0.820646 -0.021937 0.567767 0.060829 0.0000233729 0.0000051317 0.0000010869 0.0000207509 0.0000003831 0.0000113210 0.0001531092 0.0000686760 0.0000539293 0.0002485557 0.0000302199 0.0002712865
1403715894.63406 -0.058687 0.167754 0.203185 0.822030 -0.023542 0.565925 0.058668 0.0000236710 0.0000048875 0.0000007804 0.0000198995 -0.0000000409 0.0000112600 0.0001539327 0.0000704302 0.0000656455 0.0002497272 0.0000348959 0.0002576776
1403715894.68406 -0.054562 0.179680 0.223694 0.824746 -0.025682 0.562276 0.054599 0.0000207366 0.0000047365 0.0000007605 0.0000175383 -0.0000007997 0.0000111127 0.0001511822 0.0000769597 0.0000624458 0.0002274697 0.0000438654 0.0002139022
1403715894.73406 -0.054431 0.194925 0.228898 0.824612 -0.028175 0.562707 0.050824 0.0000203506 0.0000041826 0.0000006178 0.0000168168 -0.0000009258 0.0000110068 0.0001468071 0.0000740428 0.0000596670 0.0002231356 0.0000369051 0.0001940120
1403715894.78406 -0.053206 0.215367 0.236261 0.823516 -0.030786 0.564493 0.047133 0.0000206798 0.0000042137 0.0000004997 0.0000167227 -0.0000008765 0.0000109293 0.0001495601 0.0000771307 0.0000644508 0.0002238860 0.0000400568 0.0001898449
1403715894.83406 -0.048393 0.237025 0.251062 0.822018 -0.032786 0.566791 0.044268 0.0000208624 0.0000039034 0.0000004220 0.0000161989 -0.0000009735 0.0000109642 0.0001521745 0.0000801305 0.0000662205 0.0002277757 0.0000378679 0.0001796894
1403715894.88406 -0.041751 0.260813 0.267296 0.820271 -0.034045 0.569381 0.042439 0.0000209281 0.0000036636 0.0000003850 0.0000156749 -0.0000010576 0.0000110190 0.0001529487 0.0000821023 0.0000653514 0.0002289076 0.0000355800 0.0001678366
1403715894.93406 -0.036811 0.280286 0.282267 0.818604 -0.034278 0.571835 0.041425 0.0000205441 0.0000033416 0.0000007211 0.0000145312 -0.0000007366 0.0000109066 0.0001523209 0.0000848950 0.0000617192 0.0002289980 0.0000394097 0.0001495588
1403715894.98406 -0.031928 0.306407 0.295500 0.817203 -0.035039 0.573854 0.040538 0.0000206171 0.0000035740 0.0000006647 0.0000145359 -0.0000007821 0.0000109650 0.0001538173 0.0000882821 0.0000636398 0.0002274852 0.0000421634 0.0001465116
1403715895.03406 -0.026795 0.329323 0.312009 0.816563 -0.035630 0.574797 0.039539 0.0000212106 0.0000037682 0.0000006652 0.0000142656 -0.0000007933 0.0000110113 0.0001553192 0.0000943444 0.0000629589 0.0002357863 0.0000454504 0.0001388191
1403715895.08406 -0.022488 0.355521 0.325088 0.816195 -0.035430 0.575279 0.040322 0.0000206170 0.0000034909 0.0000008630 0.0000141326 -0.0000006791 0.0000109728 0.0001566203 0.0000950170 0.0000636455 0.0002357468 0.0000443008 0.0001361041
1403715895.13406 -0.016933 0.380482 0.340559 0.816298 -0.036677 0.575147 0.038952 0.0000208475 0.0000035875 0.0000007979 0.0000138361 -0.0000006749 0.0000110247 0.0001584011 0.0000986809 0.0000634695 0.0002403764 0.0000470616 0.0001302982
1403715895.18406 -0.017159 0.400618 0.350294 0.816125 -0.036751 0.575484 0.037515 0.0000198633 0.0000030318 0.0000010828 0.0000135277 -0.0000004454 0.0000108930 0.0001557258 0.0000963233 0.0000606601 0.0002378400 0.0000445067 0.0001251291
1403715895.23406 -0.012537 0.428359 0.362166 0.816351 -0.038373 0.575135 0.036306 0.0000196278 0.0000031910 0.0000008651 0.0000136046 -0.0000005146 0.0000109135 0.0001599373 0.0000984104 0.0000639789 0.0002346832 0.0000478284 0.0001252505
1403715895.28406 -0.008206 0.453669 0.375431 0.816207 -0.038684 0.575319 0.036298 0.0000194091 0.0000032551 0.0000006992 0.0000133171 -0.0000005663 0.0000109550 0.0001607794 0.0001007418 0.0000611141 0.0002332636 0.0000491088 0.0001174751
