# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1544590799.49992 -0.001412 0.001194 -0.001001 0.008516 0.014118 -0.000568 0.999864 0.0015667222 0.0000004805 0.0000282272 0.0015672304 -0.0000170047 0.0005686070 0.0088601031 0.0000000002 0.0000042413 0.0088601032 -0.0000035862 0.0006482636
1544590799.59989 0.000461 -0.001134 -0.000275 0.008989 0.014694 -0.000232 0.999852 0.0000138925 0.0000000058 0.0000003379 0.0000138986 -0.0000002035 0.0000019457 0.0006026976 -0.0000000000 0.0000000269 0.0006026976 -0.0000000220 0.0005886519
1544590799.69975 0.000642 -0.000990 -0.000469 0.008976 0.014696 -0.000106 0.999852 0.0000138291 0.0000000058 0.0000003429 0.0000138353 -0.0000002066 0.0000017032 0.0006013592 -0.0000000000 0.0000000261 0.0006013591 -0.0000000214 0.0005883757
1544590799.79987 0.000620 -0.001004 -0.000456 0.008978 0.014696 -0.000127 0.999852 0.0000138281 0.0000000058 0.0000003436 0.0000138343 -0.0000002070 0.0000016794 0.0006012686 -0.0000000000 0.0000000261 0.0006012686 -0.0000000214 0.0005883713
1544590799.89983 0.000623 -0.000993 -0.000457 0.008977 0.014695 -0.000124 0.999852 0.0000138281 0.0000000058 0.0000003436 0.0000138342 -0.0000002070 0.0000016768 0.0006012596 -0.0000000000 0.0000000261 0.0006012596 -0.0000000214 0.0005883712
1544590799.99987 0.000637 -0.000996 -0.000457 0.008978 0.014695 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012586 -0.0000000000 0.0000000261 0.0006012586 -0.0000000214 0.0005883712
1544590800.09977 0.000637 -0.000997 -0.000457 0.008978 0.014695 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012585 -0.0000000000 0.0000000261 0.0006012585 -0.0000000214 0.0005883712
1544590800.19977 0.000634 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012585 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590800.29984 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590800.39971 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590800.50119 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590800.59983 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590800.69984 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590800.79994 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590800.89984 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590800.99983 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590801.09984 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590801.19981 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590801.30002 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590801.39997 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590801.49994 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
1544590801.59993 0.000635 -0.000996 -0.000457 0.008978 0.014696 -0.000126 0.999852 0.0000138281 0.0000000059 0.0000003437 0.0000138342 -0.0000002070 0.0000016765 0.0006012584 -0.0000000000 0.0000000261 0.0006012584 -0.0000000214 0.0005883712
