# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1544590799.49992 -0.001412 0.001194 -0.001001 0.008516 0.014118 -0.000568 0.999864 0.0015667227 0.0000004806 0.0000282179 0.0015672302 -0.0000170109 0.0005686067 0.0088590194 0.0000000002 0.0000041629 0.0088590194 -0.0000037579 0.0006482636
1544590799.59989 0.000461 -0.001134 -0.000275 0.008989 0.014694 -0.000232 0.999852 0.0000138926 0.0000000058 0.0000003377 0.0000138986 -0.0000002036 0.0000019457 0.0006026923 -0.0000000000 0.0000000265 0.0006026923 -0.0000000229 0.0005886519
1544590799.69975 0.000640 -0.000988 -0.000469 0.008975 0.014694 -0.000106 0.999852 0.0000138291 0.0000000058 0.0000003426 0.0000138352 -0.0000002065 0.0000017032 0.0006013540 0.0000000000 0.0000000229 0.0006013540 -0.0000000198 0.0005883757
1544590799.79987 0.000618 -0.001002 -0.000456 0.008977 0.014695 -0.000127 0.999852 0.0000138281 0.0000000058 0.0000003432 0.0000138342 -0.0000002069 0.0000016794 0.0006012635 0.0000000000 0.0000000228 0.0006012635 -0.0000000197 0.0005883712
1544590799.89983 0.000621 -0.000991 -0.000457 0.008976 0.014694 -0.000124 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016768 0.0006012544 0.0000000000 0.0000000228 0.0006012545 -0.0000000197 0.0005883712
1544590799.99987 0.000635 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012535 0.0000000000 0.0000000228 0.0006012535 -0.0000000197 0.0005883712
1544590800.09977 0.000635 -0.000995 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012534 0.0000000000 0.0000000228 0.0006012534 -0.0000000197 0.0005883712
1544590800.19977 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012534 -0.0000000197 0.0005883712
1544590800.29984 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
1544590800.39971 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
1544590800.50119 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
1544590800.59983 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
1544590800.69984 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
1544590800.79994 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
1544590800.89984 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
1544590800.99983 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
1544590801.09984 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
1544590801.19981 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
1544590801.30002 0.000633 -0.000994 -0.000457 0.008976 0.014694 -0.000126 0.999852 0.0000138280 0.0000000058 0.0000003433 0.0000138342 -0.0000002069 0.0000016765 0.0006012533 0.0000000000 0.0000000228 0.0006012533 -0.0000000197 0.0005883712
