# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715893.38406 0.000037 -0.001025 -0.002712 0.824435 -0.030588 0.563468 0.043294 0.0003719830 -0.0000343959 0.0003365972 0.0012387511 0.0000133367 0.0011096048 0.0016709966 -0.0000000000 -0.0000001982 0.0016709971 0.0000011856 0.0002546829
1403715893.43406 0.000989 -0.001000 -0.002191 0.823708 -0.030692 0.564554 0.042908 0.0004217026 -0.0000336074 0.0003347191 0.0012903169 0.0000129320 0.0011628220 0.0024170512 -0.0000000001 -0.0000017378 0.0024170524 0.0000013848 0.0003130913
1403715893.48406 0.001862 -0.000720 0.000493 0.820243 -0.030315 0.569713 0.041343 0.0004699292 -0.0000311876 0.0003255869 0.0013470086 0.0000115648 0.0012273983 0.0034066815 -0.0000000003 -0.0000037482 0.0034066837 0.0000011050 0.0003787054
1403715893.53406 0.002969 0.000302 0.004305 0.815076 -0.030174 0.577273 0.038682 0.0005196277 -0.0000266159 0.0003118058 0.0014088196 0.0000093332 0.0013003450 0.0046883850 -0.0000000011 -0.0000069465 0.0046883884 -0.0000010423 0.0004519546
1403715893.58406 0.004825 0.001816 0.009130 0.810292 -0.030394 0.584102 0.036454 0.0005758044 -0.0000223432 0.0002988696 0.0014755561 0.0000074423 0.0013768072 0.0063189283 -0.0000000034 -0.0000130895 0.0063189326 -0.0000053202 0.0005333146
1403715893.63406 0.006367 0.004164 0.014599 0.806020 -0.031599 0.590094 0.033490 0.0006384928 -0.0000158709 0.0002872943 0.0015473220 0.0000050752 0.0014566082 0.0083596812 -0.0000000064 -0.0000199389 0.0083596840 -0.0000135805 0.0006232867
1403715893.68406 0.007478 0.006990 0.019914 0.804237 -0.032204 0.592617 0.031157 0.0007113067 -0.0000113266 0.0002824472 0.0016239381 0.0000036190 0.0015363268 0.0108744368 -0.0000000088 -0.0000267875 0.0108744325 -0.0000259071 0.0007224104
1403715893.73406 0.008362 0.009728 0.026005 0.803753 -0.033326 0.593321 0.028995 0.0007916964 -0.0000066192 0.0002812586 0.0017055012 0.0000022202 0.0016184766 0.0139454575 -0.0000000107 -0.0000339871 0.0139454345 -0.0000409543 0.0008312561
1403715893.78406 0.008589 0.012707 0.032888 0.804331 -0.033497 0.592535 0.028844 0.0008791126 -0.0000062208 0.0002829039 0.0017919734 0.0000021852 0.0017036801 0.0176578312 -0.0000000051 -0.0000391287 0.0176577788 -0.0000605124 0.0009504349
1403715893.83406 0.008540 0.016251 0.039864 0.806964 -0.032323 0.588926 0.030493 0.0009755296 -0.0000103876 0.0002900650 0.0018833647 0.0000036440 0.0017900159 0.0220971873 0.0000000202 -0.0000431579 0.0220970684 -0.0000871908 0.0010806298
1403715893.88406 0.008004 0.019988 0.046841 0.810805 -0.032890 0.583594 0.030514 0.0010796848 -0.0000102573 0.0003006904 0.0019798405 0.0000038024 0.0018786332 0.0273616906 0.0000000695 -0.0000441495 0.0273614604 -0.0001201821 0.0012225223
1403715893.93406 -0.071062 0.064233 0.058404 0.806835 -0.031946 0.588859 0.035245 0.0003517485 -0.0000051115 0.0001651241 0.0008354325 -0.0000771044 0.0009287984 0.0159161859 -0.0010928263 -0.0011173238 0.0121484540 -0.0002476451 0.0010522354
1403715893.98406 -0.101327 0.119582 0.087861 0.807614 -0.026305 0.587654 0.041597 0.0002183327 0.0000015814 0.0000475645 0.0005640510 -0.0000572654 0.0003908627 0.0115109918 -0.0010002280 -0.0004649769 0.0051786757 0.0000414654 0.0003800697
1403715894.03406 -0.138730 0.089008 0.108271 0.810244 -0.029578 0.584173 0.037040 0.0000939723 -0.0000184865 0.0000230420 0.0003085224 -0.0000282146 0.0001517875 0.0072432064 -0.0007793754 -0.0001894022 0.0024777732 0.0000736506 0.0002865061
1403715894.08406 -0.152891 0.101346 0.118011 0.814694 -0.029611 0.577894 0.037887 0.0001012067 -0.0000174930 0.0000228597 0.0003169340 -0.0000327498 0.0001601703 0.0087539132 -0.0009455765 -0.0001786778 0.0030425879 0.0001061319 0.0003175402
1403715894.13406 -0.162613 0.125639 0.128457 0.816355 -0.028579 0.575271 0.042560 0.0000774647 -0.0000216617 0.0000350455 0.0000177740 -0.0000074491 0.0001099696 0.0009474853 -0.0000487125 0.0000334714 0.0027658130 0.0001654162 0.0003219083
1403715894.18406 -0.120994 0.124363 0.168153 0.816922 -0.024253 0.574379 0.046262 0.0000327579 -0.0000064656 0.0000135922 0.0000058997 -0.0000021234 0.0000065737 0.0002896312 -0.0002398436 -0.0000477608 0.0007901311 0.0000985526 0.0001725824
1403715894.23406 -0.129372 0.152276 0.185260 0.813535 -0.021163 0.578708 0.053004 0.0000200740 -0.0000042176 0.0000077165 0.0000049620 -0.0000012130 0.0000036657 0.0002485897 -0.0001645965 -0.0000026572 0.0004880751 0.0000629044 0.0001279292
1403715894.28406 -0.135585 0.168418 0.204096 0.810138 -0.016899 0.582962 0.059556 0.0000106448 -0.0000016933 0.0000039332 0.0000026999 -0.0000004549 0.0000020768 0.0001462157 -0.0000815425 -0.0000036047 0.0002801341 0.0000452044 0.0000937051
1403715894.33406 -0.146003 0.182061 0.226185 0.808045 -0.013610 0.585420 0.064507 0.0000071002 -0.0000009958 0.0000024660 0.0000027060 -0.0000001691 0.0000015149 0.0001527447 -0.0000569098 -0.0000043512 0.0002063323 0.0000448537 0.0001019728
1403715894.38406 -0.119891 0.164765 0.246821 0.807157 -0.009993 0.586526 0.066217 0.0000041487 -0.0000003172 0.0000014725 0.0000012153 -0.0000001361 0.0000010648 0.0000599420 -0.0000220440 -0.0000088719 0.0001230296 0.0000266268 0.0000694160
1403715894.43406 -0.113893 0.156159 0.252218 0.806805 -0.009027 0.586935 0.067016 0.0000031200 -0.0000001162 0.0000010973 0.0000007833 -0.0000000659 0.0000009033 0.0000388657 -0.0000083635 -0.0000119240 0.0000787458 0.0000217728 0.0000658229
1403715894.48406 -0.114874 0.166941 0.253386 0.807997 -0.010243 0.585302 0.066768 0.0000026705 -0.0000000389 0.0000009180 0.0000008038 -0.0000000655 0.0000008474 0.0000331630 -0.0000064413 -0.0000101517 0.0000579311 0.0000222668 0.0000666107
1403715894.53406 -0.114031 0.183872 0.257763 0.810238 -0.012461 0.582356 0.064960 0.0000027740 -0.0000000367 0.0000009350 0.0000006689 -0.0000000730 0.0000008738 0.0000298164 -0.0000069164 -0.0000121113 0.0000600916 0.0000235769 0.0000652128
1403715894.58406 -0.111332 0.202717 0.259138 0.811939 -0.014304 0.580031 0.064143 0.0000028387 -0.0000000201 0.0000009469 0.0000007169 -0.0000000756 0.0000009023 0.0000281759 -0.0000065893 -0.0000101058 0.0000629586 0.0000262370 0.0000659103
1403715894.63406 -0.108008 0.221024 0.261088 0.813307 -0.016153 0.578253 0.062396 0.0000029037 -0.0000000200 0.0000009536 0.0000007721 -0.0000000777 0.0000009006 0.0000267574 -0.0000058335 -0.0000082356 0.0000659494 0.0000280153 0.0000672168
1403715894.68406 -0.105061 0.241139 0.263497 0.814895 -0.018943 0.576294 0.058928 0.0000029537 -0.0000000272 0.0000009540 0.0000008205 -0.0000000717 0.0000008884 0.0000259426 -0.0000043651 -0.0000062289 0.0000672329 0.0000276647 0.0000659443
1403715894.73406 -0.102115 0.262667 0.269112 0.814705 -0.021214 0.576793 0.055819 0.0000030171 -0.0000000350 0.0000009574 0.0000008680 -0.0000000737 0.0000008904 0.0000256350 -0.0000026992 -0.0000044845 0.0000676313 0.0000255811 0.0000630232
1403715894.78406 -0.099537 0.287770 0.277555 0.813508 -0.023822 0.578702 0.052349 0.0000030404 -0.0000000449 0.0000009651 0.0000009206 -0.0000000771 0.0000009051 0.0000254384 -0.0000018336 -0.0000029725 0.0000694701 0.0000250565 0.0000613040
1403715894.83406 -0.095653 0.310875 0.284322 0.811489 -0.025589 0.581697 0.049585 0.0000031162 -0.0000000421 0.0000009779 0.0000009799 -0.0000000878 0.0000009301 0.0000253367 -0.0000002670 -0.0000012225 0.0000723381 0.0000246574 0.0000601177
1403715894.88406 -0.091068 0.339220 0.295868 0.809254 -0.026585 0.584896 0.047935 0.0000031816 -0.0000000513 0.0000010057 0.0000010328 -0.0000001028 0.0000009603 0.0000256698 0.0000004270 -0.0000006174 0.0000757202 0.0000242628 0.0000593011
1403715894.93406 -0.086299 0.363351 0.305702 0.807150 -0.026872 0.587834 0.047313 0.0000032565 -0.0000000473 0.0000010106 0.0000010822 -0.0000001140 0.0000009678 0.0000259413 0.0000016419 0.0000000992 0.0000797140 0.0000244500 0.0000591517
1403715894.98406 -0.081671 0.389035 0.319090 0.805670 -0.027301 0.589928 0.046206 0.0000033516 -0.0000000385 0.0000010253 0.0000011277 -0.0000001315 0.0000009859 0.0000263695 0.0000027820 0.0000005586 0.0000850326 0.0000253363 0.0000594091
1403715895.03406 -0.073889 0.414381 0.333987 0.804888 -0.027920 0.591032 0.045364 0.0000034414 -0.0000000299 0.0000010299 0.0000011519 -0.0000001385 0.0000009924 0.0000260935 0.0000038725 0.0000005658 0.0000912823 0.0000271207 0.0000600186
1403715895.08406 -0.068009 0.437804 0.347522 0.804610 -0.027819 0.591376 0.045864 0.0000035108 -0.0000000076 0.0000010173 0.0000011888 -0.0000001321 0.0000009906 0.0000261657 0.0000051093 0.0000009555 0.0000971826 0.0000293687 0.0000613574
1403715895.13406 -0.063612 0.461899 0.359859 0.804542 -0.028975 0.591534 0.044272 0.0000035962 0.0000000032 0.0000010031 0.0000012430 -0.0000001301 0.0000009913 0.0000266921 0.0000064554 0.0000016288 0.0001028719 0.0000313559 0.0000629999
1403715895.18406 -0.059458 0.488803 0.372356 0.804534 -0.029699 0.591569 0.043466 0.0000036787 0.0000000103 0.0000009897 0.0000012997 -0.0000001346 0.0000009938 0.0000272773 0.0000075654 0.0000022003 0.0001090410 0.0000332473 0.0000645632
1403715895.23406 -0.056108 0.514600 0.384289 0.804733 -0.030896 0.591354 0.041835 0.0000031837 0.0000000129 0.0000008238 0.0000013478 -0.0000001325 0.0000009437 0.0000273560 0.0000069378 0.0000025635 0.0001037613 0.0000344447 0.0000660755
