# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715893.38406 0.000037 -0.001025 -0.002712 0.824435 -0.030588 0.563468 0.043294 0.0003719830 -0.0000343959 0.0003365972 0.0012387511 0.0000133367 0.0011096048 0.0016709966 -0.0000000000 -0.0000001982 0.0016709971 0.0000011856 0.0002546829
1403715893.43406 0.000989 -0.001000 -0.002191 0.823708 -0.030692 0.564554 0.042908 0.0004217026 -0.0000336074 0.0003347191 0.0012903169 0.0000129320 0.0011628220 0.0024170512 -0.0000000001 -0.0000017378 0.0024170524 0.0000013848 0.0003130913
1403715893.48406 0.001862 -0.000720 0.000493 0.820243 -0.030315 0.569713 0.041343 0.0004699292 -0.0000311876 0.0003255869 0.0013470086 0.0000115648 0.0012273983 0.0034066815 -0.0000000003 -0.0000037482 0.0034066837 0.0000011050 0.0003787054
1403715893.53406 0.002969 0.000302 0.004305 0.815076 -0.030174 0.577273 0.038682 0.0005196277 -0.0000266159 0.0003118058 0.0014088196 0.0000093332 0.0013003450 0.0046883850 -0.0000000011 -0.0000069465 0.0046883884 -0.0000010423 0.0004519546
1403715893.58406 0.004825 0.001816 0.009130 0.810292 -0.030394 0.584102 0.036454 0.0005758044 -0.0000223432 0.0002988696 0.0014755561 0.0000074423 0.0013768072 0.0063189283 -0.0000000034 -0.0000130895 0.0063189326 -0.0000053202 0.0005333146
1403715893.63406 0.006367 0.004164 0.014599 0.806020 -0.031599 0.590094 0.033490 0.0006384928 -0.0000158709 0.0002872943 0.0015473220 0.0000050752 0.0014566082 0.0083596812 -0.0000000064 -0.0000199389 0.0083596840 -0.0000135805 0.0006232867
1403715893.68406 0.007478 0.006990 0.019914 0.804237 -0.032204 0.592617 0.031157 0.0007113067 -0.0000113266 0.0002824472 0.0016239381 0.0000036190 0.0015363268 0.0108744368 -0.0000000088 -0.0000267875 0.0108744325 -0.0000259071 0.0007224104
1403715893.73406 0.008362 0.009728 0.026005 0.803753 -0.033326 0.593321 0.028995 0.0007916964 -0.0000066192 0.0002812586 0.0017055012 0.0000022202 0.0016184766 0.0139454575 -0.0000000107 -0.0000339871 0.0139454345 -0.0000409543 0.0008312561
1403715893.78406 0.008589 0.012707 0.032888 0.804331 -0.033497 0.592535 0.028844 0.0008791126 -0.0000062208 0.0002829039 0.0017919734 0.0000021852 0.0017036801 0.0176578312 -0.0000000051 -0.0000391287 0.0176577788 -0.0000605124 0.0009504349
1403715893.83406 0.008540 0.016251 0.039864 0.806964 -0.032323 0.588926 0.030493 0.0009755296 -0.0000103876 0.0002900650 0.0018833647 0.0000036440 0.0017900159 0.0220971873 0.0000000202 -0.0000431579 0.0220970684 -0.0000871908 0.0010806298
1403715893.88406 0.008004 0.019988 0.046841 0.810805 -0.032890 0.583594 0.030514 0.0010796848 -0.0000102573 0.0003006904 0.0019798405 0.0000038024 0.0018786332 0.0273616906 0.0000000695 -0.0000441495 0.0273614604 -0.0001201821 0.0012225223
1403715893.93406 -0.010741 0.049942 0.055333 0.809334 -0.033271 0.585346 0.035219 0.0005905549 0.0000788220 -0.0001831827 0.0001795498 0.0000454319 0.0002902818 0.0035893694 0.0014334758 -0.0004119104 0.0019050228 0.0000934171 0.0011652600
1403715893.98406 -0.010239 0.043557 0.055631 0.812899 -0.031140 0.580651 0.032701 0.0003441977 0.0000539478 -0.0001431420 0.0001122076 -0.0000112095 0.0001556330 0.0016592155 0.0003234543 -0.0006841379 0.0008452527 -0.0000484138 0.0011555912
1403715894.03406 -0.023895 0.045383 0.066150 0.816739 -0.032709 0.575207 0.031695 0.0001944266 0.0000021336 -0.0000611315 0.0000857363 0.0000111793 0.0000982818 0.0013311429 0.0000160539 -0.0005168802 0.0005939441 0.0001142164 0.0010569779
1403715894.08406 -0.018617 0.050765 0.071722 0.821762 -0.030124 0.568149 0.031722 0.0001408541 0.0000104553 -0.0000117696 0.0000886671 0.0000042670 0.0000554990 0.0009818580 0.0000501091 -0.0003505821 0.0006471283 0.0001190845 0.0010755165
1403715894.13406 -0.043771 0.071753 0.091968 0.822897 -0.032465 0.565966 0.038321 0.0001096915 0.0000131612 0.0000054997 0.0000752493 0.0000059908 0.0000301593 0.0004220418 -0.0000116072 -0.0001008009 0.0006093780 0.0001639312 0.0010077698
1403715894.18406 -0.055894 0.079158 0.114190 0.821672 -0.028556 0.567582 0.043474 0.0000518683 0.0000122445 0.0000065205 0.0000365732 0.0000022345 0.0000156998 0.0001875606 -0.0000081831 -0.0000782797 0.0003639730 0.0001201455 0.0006373875
1403715894.23406 -0.057074 0.082015 0.116801 0.818156 -0.025187 0.572498 0.047257 0.0000415907 0.0000111885 0.0000053793 0.0000351315 0.0000032015 0.0000140476 0.0001522190 0.0000214148 -0.0000343318 0.0003228200 0.0000920485 0.0006020869
1403715894.28406 -0.059543 0.093527 0.125666 0.814900 -0.021549 0.576694 0.053821 0.0000384240 0.0000117338 0.0000047516 0.0000339738 0.0000035074 0.0000134938 0.0001413045 0.0000298029 -0.0000122055 0.0003156662 0.0001012260 0.0005743481
1403715894.33406 -0.062814 0.088743 0.133680 0.812895 -0.017402 0.579358 0.056950 0.0000341347 0.0000120044 0.0000040322 0.0000313929 0.0000029885 0.0000125408 0.0001305626 0.0000408078 0.0000089220 0.0002818010 0.0001025098 0.0005254755
1403715894.38406 -0.069016 0.088696 0.158865 0.813100 -0.014541 0.578774 0.060651 0.0000202475 0.0000064975 0.0000018148 0.0000204702 0.0000001929 0.0000113524 0.0001123912 0.0000408069 0.0000071060 0.0001967589 0.0000313159 0.0003055906
1403715894.43406 -0.075204 0.096141 0.170160 0.813506 -0.013992 0.578010 0.062584 0.0000149779 0.0000048594 0.0000015645 0.0000186401 -0.0000001093 0.0000108475 0.0000990657 0.0000385219 0.0000065198 0.0001641255 0.0000097535 0.0002414131
1403715894.48406 -0.079762 0.107898 0.178816 0.815239 -0.015348 0.575574 0.062162 0.0000117344 0.0000035561 0.0000016609 0.0000173234 -0.0000003975 0.0000105975 0.0000902359 0.0000388937 0.0000108041 0.0001412630 0.0000046361 0.0002086945
1403715894.53406 -0.082286 0.124733 0.188955 0.817931 -0.017922 0.571857 0.060391 0.0000116931 0.0000033114 0.0000018327 0.0000171223 -0.0000004279 0.0000104683 0.0000849190 0.0000374657 0.0000145532 0.0001414687 0.0000052973 0.0001960062
1403715894.58406 -0.084288 0.142563 0.196028 0.820014 -0.020030 0.568872 0.059673 0.0000112854 0.0000028858 0.0000019823 0.0000165630 -0.0000004448 0.0000103555 0.0000812678 0.0000370889 0.0000211149 0.0001374735 0.0000073714 0.0001872575
1403715894.63406 -0.085154 0.159306 0.204906 0.821720 -0.022013 0.566524 0.057811 0.0000109581 0.0000023277 0.0000021453 0.0000158144 -0.0000003672 0.0000101891 0.0000814818 0.0000377661 0.0000261114 0.0001370471 0.0000067340 0.0001759607
1403715894.68406 -0.086257 0.177447 0.216915 0.823750 -0.024809 0.563802 0.054298 0.0000105548 0.0000018434 0.0000023228 0.0000149453 -0.0000002011 0.0000100269 0.0000815664 0.0000379248 0.0000290131 0.0001341270 0.0000091471 0.0001626251
1403715894.73406 -0.083497 0.200055 0.233467 0.824171 -0.027387 0.563330 0.051500 0.0000105694 0.0000016896 0.0000023788 0.0000144203 -0.0000001340 0.0000099633 0.0000816007 0.0000387936 0.0000311534 0.0001337357 0.0000129495 0.0001508687
1403715894.78406 -0.079481 0.222938 0.245634 0.823340 -0.030311 0.564694 0.048094 0.0000101280 0.0000012975 0.0000024963 0.0000140109 -0.0000000600 0.0000099439 0.0000816601 0.0000382679 0.0000326014 0.0001314122 0.0000127233 0.0001415964
1403715894.83406 -0.075824 0.246433 0.256421 0.821514 -0.032175 0.567474 0.045300 0.0000101796 0.0000012819 0.0000025039 0.0000138155 -0.0000000897 0.0000099749 0.0000823525 0.0000391931 0.0000345523 0.0001314659 0.0000138110 0.0001352756
1403715894.88406 -0.069153 0.271982 0.274021 0.819811 -0.033390 0.569993 0.043627 0.0000102908 0.0000012126 0.0000025341 0.0000135787 -0.0000001022 0.0000100058 0.0000829391 0.0000407475 0.0000355075 0.0001343882 0.0000151714 0.0001284717
1403715894.93406 -0.065094 0.296560 0.287739 0.817962 -0.033722 0.572667 0.043049 0.0000103376 0.0000013229 0.0000024841 0.0000132954 -0.0000001272 0.0000100331 0.0000829467 0.0000415261 0.0000352813 0.0001325393 0.0000177795 0.0001186034
1403715894.98406 -0.058523 0.321024 0.305211 0.816761 -0.034233 0.574431 0.041929 0.0000104554 0.0000014415 0.0000024508 0.0000131174 -0.0000001936 0.0000100619 0.0000833194 0.0000434209 0.0000346924 0.0001333706 0.0000195838 0.0001101786
1403715895.03406 -0.050134 0.346033 0.327411 0.816471 -0.035099 0.574844 0.041203 0.0000105718 0.0000016224 0.0000024023 0.0000126282 -0.0000002381 0.0000100769 0.0000835756 0.0000465796 0.0000327666 0.0001336936 0.0000238613 0.0000986142
1403715895.08406 -0.044501 0.370037 0.343751 0.816324 -0.034943 0.575025 0.041711 0.0000104776 0.0000017113 0.0000023469 0.0000124763 -0.0000002489 0.0000100696 0.0000850428 0.0000492991 0.0000332412 0.0001322184 0.0000258033 0.0000949516
1403715895.13406 -0.039579 0.394342 0.357499 0.816324 -0.036112 0.575064 0.040153 0.0000105499 0.0000017753 0.0000022681 0.0000124792 -0.0000002675 0.0000100714 0.0000870575 0.0000515378 0.0000350363 0.0001330526 0.0000267638 0.0000945283
1403715895.18406 -0.033198 0.422764 0.370306 0.816375 -0.037077 0.574972 0.039543 0.0000106070 0.0000017545 0.0000021849 0.0000124651 -0.0000003102 0.0000100776 0.0000888749 0.0000530424 0.0000360625 0.0001339788 0.0000260363 0.0000927461
1403715895.23406 -0.028883 0.452505 0.381662 0.816530 -0.038431 0.574743 0.038368 0.0000104578 0.0000016448 0.0000021513 0.0000123245 -0.0000003177 0.0000100351 0.0000895821 0.0000535899 0.0000352795 0.0001328086 0.0000248814 0.0000887193
1403715895.28406 -0.026536 0.476278 0.393093 0.816268 -0.038393 0.575140 0.038031 0.0000102360 0.0000015773 0.0000021096 0.0000122322 -0.0000002507 0.0000099586 0.0000900888 0.0000544844 0.0000346457 0.0001299142 0.0000255453 0.0000860360
