# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1544590799.49992 -0.001412 0.001194 -0.001001 0.008516 0.014118 -0.000568 0.999864 0.0015667225 0.0000004806 0.0000282179 0.0015672300 -0.0000170109 0.0005686065 0.0088590668 0.0000000002 0.0000041629 0.0088590668 -0.0000037579 0.0006483113
1544590799.59989 0.000464 -0.001126 -0.000375 0.008988 0.014694 -0.000234 0.999852 0.0000161298 0.0000000050 0.0000002965 0.0000161352 -0.0000001788 0.0000056416 0.0006325558 -0.0000000000 0.0000000440 0.0006325558 -0.0000000386 0.0005967777
1544590799.69975 0.000730 -0.000922 -0.000588 0.008971 0.014695 -0.000043 0.999852 0.0000159521 0.0000000059 0.0000003500 0.0000159584 -0.0000002109 0.0000035482 0.0006240133 0.0000000000 0.0000000350 0.0006240133 -0.0000000306 0.0005962014
1544590799.79987 0.000691 -0.000944 -0.000572 0.008973 0.014696 -0.000081 0.999852 0.0000159469 0.0000000062 0.0000003654 0.0000159534 -0.0000002202 0.0000030027 0.0006221044 0.0000000000 0.0000000341 0.0006221044 -0.0000000298 0.0005961858
1544590799.89983 0.000718 -0.000893 -0.000572 0.008973 0.014694 -0.000070 0.999852 0.0000159465 0.0000000063 0.0000003708 0.0000159532 -0.0000002234 0.0000028125 0.0006214503 0.0000000000 0.0000000338 0.0006214503 -0.0000000295 0.0005961853
1544590799.99987 0.000849 -0.000914 -0.000572 0.008973 0.014693 -0.000086 0.999852 0.0000159464 0.0000000063 0.0000003728 0.0000159531 -0.0000002247 0.0000027395 0.0006211992 0.0000000000 0.0000000337 0.0006211992 -0.0000000294 0.0005961853
1544590800.09977 0.000867 -0.000929 -0.000572 0.008973 0.014693 -0.000077 0.999852 0.0000159464 0.0000000063 0.0000003737 0.0000159531 -0.0000002252 0.0000027105 0.0006210996 0.0000000000 0.0000000337 0.0006210996 -0.0000000294 0.0005961853
1544590800.19977 0.000803 -0.000908 -0.000572 0.008973 0.014694 -0.000087 0.999852 0.0000159464 0.0000000063 0.0000003740 0.0000159531 -0.0000002254 0.0000026987 0.0006210593 0.0000000000 0.0000000337 0.0006210593 -0.0000000293 0.0005961853
1544590800.29984 0.000797 -0.000917 -0.000572 0.008973 0.014694 -0.000085 0.999852 0.0000159464 0.0000000063 0.0000003741 0.0000159531 -0.0000002255 0.0000026940 0.0006210430 0.0000000000 0.0000000336 0.0006210430 -0.0000000293 0.0005961853
1544590800.39971 0.000797 -0.000912 -0.000572 0.008973 0.014694 -0.000086 0.999852 0.0000159464 0.0000000063 0.0000003742 0.0000159531 -0.0000002255 0.0000026921 0.0006210364 0.0000000000 0.0000000336 0.0006210364 -0.0000000293 0.0005961853
1544590800.50119 0.000799 -0.000911 -0.000572 0.008973 0.014694 -0.000086 0.999852 0.0000159464 0.0000000063 0.0000003742 0.0000159531 -0.0000002255 0.0000026913 0.0006210337 0.0000000000 0.0000000336 0.0006210337 -0.0000000293 0.0005961853
