# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715889.63406 -0.000043 0.000629 0.000161 0.827591 -0.035225 0.558061 0.049203 0.0000028982 -0.0000006181 0.0000050548 0.0000154205 0.0000002489 0.0000134154 0.0002480702 -0.0000000000 -0.0000000124 0.0002480702 -0.0000000322 0.0002451113
1403715889.68406 -0.000043 0.000629 0.000161 0.827591 -0.035225 0.558061 0.049203 0.0000028982 -0.0000006181 0.0000050548 0.0000154205 0.0000002489 0.0000134154 0.0002480702 -0.0000000000 -0.0000000124 0.0002480702 -0.0000000322 0.0002451113
1403715889.73406 -0.000104 0.000792 0.000232 0.827604 -0.035148 0.558061 0.049030 0.0000028921 -0.0000005682 0.0000050464 0.0000154328 0.0000002282 0.0000134319 0.0003030588 -0.0000000000 0.0000000015 0.0003030588 -0.0000000080 0.0002988460
1403715889.78406 -0.000169 0.000824 0.000274 0.827640 -0.035244 0.557997 0.049079 0.0000029133 -0.0000005680 0.0000050480 0.0000154526 0.0000002282 0.0000134503 0.0003637065 -0.0000000000 0.0000000021 0.0003637065 -0.0000000108 0.0003580039
1403715889.83406 -0.000189 0.000842 0.000377 0.827507 -0.035291 0.558182 0.049180 0.0000029408 -0.0000005693 0.0000050430 0.0000154846 0.0000002284 0.0000134871 0.0004300250 -0.0000000000 0.0000000020 0.0004300250 -0.0000000147 0.0004226050
1403715889.88406 -0.000159 0.000854 0.000392 0.827469 -0.035359 0.558238 0.049141 0.0000029836 -0.0000005673 0.0000050417 0.0000155291 0.0000002275 0.0000135326 0.0005020465 0.0000000000 0.0000000009 0.0005020465 -0.0000000202 0.0004926841
1403715889.93406 -0.000060 0.000846 0.000401 0.827412 -0.035569 0.558296 0.049290 0.0000030385 -0.0000005674 0.0000050399 0.0000155856 0.0000002274 0.0000135909 0.0005798206 0.0000000000 -0.0000000020 0.0005798206 -0.0000000273 0.0005682888
1403715889.98406 0.000047 0.000800 0.000391 0.827441 -0.035639 0.558242 0.049372 0.0000031085 -0.0000005682 0.0000050411 0.0000156543 0.0000002278 0.0000136586 0.0006634094 0.0000000000 -0.0000000062 0.0006634095 -0.0000000360 0.0006494804
1403715890.03406 0.000207 0.000772 0.000359 0.827489 -0.035738 0.558179 0.049214 0.0000031910 -0.0000005633 0.0000050431 0.0000157358 0.0000002260 0.0000137378 0.0007528899 0.0000000000 -0.0000000127 0.0007528899 -0.0000000475 0.0007363340
1403715890.08406 0.000393 0.000691 0.000279 0.827500 -0.035660 0.558169 0.049186 0.0000032846 -0.0000005638 0.0000050434 0.0000158291 0.0000002262 0.0000138308 0.0008483517 0.0000000001 -0.0000000213 0.0008483518 -0.0000000611 0.0008289370
1403715890.13406 0.000601 0.000603 0.000166 0.827522 -0.035840 0.558135 0.049078 0.0000033908 -0.0000005587 0.0000050446 0.0000159351 0.0000002242 0.0000139353 0.0009499022 0.0000000001 -0.0000000323 0.0009499023 -0.0000000777 0.0009273911
1403715890.18406 0.000861 0.000537 0.000032 0.827523 -0.035670 0.558147 0.049049 0.0000035085 -0.0000005606 0.0000050443 0.0000160527 0.0000002250 0.0000140533 0.0010576643 0.0000000001 -0.0000000463 0.0010576645 -0.0000000983 0.0010318115
1403715890.23406 0.001160 0.000507 -0.000177 0.827495 -0.035670 0.558183 0.049104 0.0000036376 -0.0000005618 0.0000050433 0.0000161826 0.0000002254 0.0000141843 0.0011717749 0.0000000002 -0.0000000635 0.0011717752 -0.0000001237 0.0011423267
1403715890.28406 0.001527 0.000530 -0.000456 0.827636 -0.035744 0.557978 0.049012 0.0000037849 -0.0000005589 0.0000050487 0.0000163252 0.0000002246 0.0000143214 0.0012923906 0.0000000002 -0.0000000849 0.0012923909 -0.0000001546 0.0012590794
1403715890.33406 0.001946 0.000599 -0.000750 0.827678 -0.035529 0.557930 0.049003 0.0000039409 -0.0000005620 0.0000050499 0.0000164794 0.0000002259 0.0000144748 0.0014196866 0.0000000003 -0.0000001103 0.0014196870 -0.0000001917 0.0013822240
1403715890.38406 0.002438 0.000668 -0.001101 0.827671 -0.035596 0.557952 0.048823 0.0000041071 -0.0000005570 0.0000050499 0.0000166467 0.0000002239 0.0000146417 0.0015538545 0.0000000003 -0.0000001406 0.0015538550 -0.0000002344 0.0015119302
1403715890.43406 0.003016 0.000766 -0.001547 0.827798 -0.035460 0.557771 0.048830 0.0000042907 -0.0000005594 0.0000050544 0.0000168255 0.0000002251 0.0000148164 0.0016951050 0.0000000004 -0.0000001764 0.0016951056 -0.0000002838 0.0016483806
1403715890.48406 0.003594 0.000914 -0.001977 0.827793 -0.035348 0.557791 0.048766 0.0000044817 -0.0000005597 0.0000050540 0.0000170168 0.0000002252 0.0000150080 0.0018436772 0.0000000005 -0.0000002158 0.0018436780 -0.0000003411 0.0017917716
1403715890.53406 0.004203 0.001063 -0.002453 0.827793 -0.035477 0.557775 0.048859 0.0000046854 -0.0000005598 0.0000050542 0.0000172203 0.0000002253 0.0000152114 0.0019998243 0.0000000006 -0.0000002597 0.0019998253 -0.0000004054 0.0019423138
1403715890.58406 0.004892 0.001207 -0.002945 0.827880 -0.035507 0.557629 0.049027 0.0000049047 -0.0000005633 0.0000050575 0.0000174358 0.0000002269 0.0000154239 0.0021638250 0.0000000007 -0.0000003098 0.0021638262 -0.0000004769 0.0021002292
1403715890.63406 0.005617 0.001335 -0.003501 0.827891 -0.035334 0.557608 0.049199 0.0000051335 -0.0000005698 0.0000050575 0.0000176632 0.0000002295 0.0000156519 0.0023359800 0.0000000008 -0.0000003651 0.0023359814 -0.0000005556 0.0022657555
1403715890.68406 0.006347 0.001513 -0.004122 0.827791 -0.035413 0.557755 0.049160 0.0000053700 -0.0000005675 0.0000050539 0.0000179037 0.0000002284 0.0000158956 0.0025166173 0.0000000009 -0.0000004246 0.0025166190 -0.0000006437 0.0024391437
1403715890.73406 0.007169 0.001700 -0.004749 0.827851 -0.035171 0.557675 0.049243 0.0000056249 -0.0000005732 0.0000050557 0.0000181557 0.0000002308 0.0000161464 0.0027060962 0.0000000010 -0.0000004920 0.0027060982 -0.0000007403 0.0026206581
1403715890.78406 0.008060 0.001871 -0.005423 0.827862 -0.035113 0.557668 0.049165 0.0000058899 -0.0000005723 0.0000050560 0.0000184206 0.0000002304 0.0000164108 0.0029047986 0.0000000011 -0.0000005670 0.0029048009 -0.0000008446 0.0028105777
1403715890.83406 0.008998 0.001910 -0.006085 0.827747 -0.035086 0.557834 0.049246 0.0000061629 -0.0000005743 0.0000050516 0.0000186974 0.0000002310 0.0000166921 0.0031131411 0.0000000013 -0.0000006492 0.0031131438 -0.0000009521 0.0030091925
1403715890.88406 0.009992 0.001886 -0.006853 0.827699 -0.035127 0.557899 0.049282 0.0000064505 -0.0000005744 0.0000050499 0.0000189867 0.0000002309 0.0000169830 0.0033315603 0.0000000014 -0.0000007398 0.0033315633 -0.0000010651 0.0032168088
