# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715893.38406 0.000037 -0.001025 -0.002712 0.824435 -0.030588 0.563468 0.043294 0.0003719830 -0.0000343959 0.0003365972 0.0012387511 0.0000133367 0.0011096048 0.0016709966 -0.0000000000 -0.0000001982 0.0016709971 0.0000011856 0.0002546829
1403715893.43406 0.000989 -0.001000 -0.002191 0.823708 -0.030692 0.564554 0.042908 0.0004217026 -0.0000336074 0.0003347191 0.0012903169 0.0000129320 0.0011628220 0.0024170512 -0.0000000001 -0.0000017378 0.0024170524 0.0000013848 0.0003130913
1403715893.48406 0.001862 -0.000720 0.000493 0.820243 -0.030315 0.569713 0.041343 0.0004699292 -0.0000311876 0.0003255869 0.0013470086 0.0000115648 0.0012273983 0.0034066815 -0.0000000003 -0.0000037482 0.0034066837 0.0000011050 0.0003787054
1403715893.53406 0.002969 0.000302 0.004305 0.815076 -0.030174 0.577273 0.038682 0.0005196277 -0.0000266159 0.0003118058 0.0014088196 0.0000093332 0.0013003450 0.0046883850 -0.0000000011 -0.0000069465 0.0046883884 -0.0000010423 0.0004519546
1403715893.58406 0.004825 0.001816 0.009130 0.810292 -0.030394 0.584102 0.036454 0.0005758044 -0.0000223432 0.0002988696 0.0014755561 0.0000074423 0.0013768072 0.0063189283 -0.0000000034 -0.0000130895 0.0063189326 -0.0000053202 0.0005333146
1403715893.63406 0.006367 0.004164 0.014599 0.806020 -0.031599 0.590094 0.033490 0.0006384928 -0.0000158709 0.0002872943 0.0015473220 0.0000050752 0.0014566082 0.0083596812 -0.0000000064 -0.0000199389 0.0083596840 -0.0000135805 0.0006232867
1403715893.68406 0.007478 0.006990 0.019914 0.804237 -0.032204 0.592617 0.031157 0.0007113067 -0.0000113266 0.0002824472 0.0016239381 0.0000036190 0.0015363268 0.0108744368 -0.0000000088 -0.0000267875 0.0108744325 -0.0000259071 0.0007224104
1403715893.73406 0.008362 0.009728 0.026005 0.803753 -0.033326 0.593321 0.028995 0.0007916964 -0.0000066192 0.0002812586 0.0017055012 0.0000022202 0.0016184766 0.0139454575 -0.0000000107 -0.0000339871 0.0139454345 -0.0000409543 0.0008312561
1403715893.78406 0.008589 0.012707 0.032888 0.804331 -0.033497 0.592535 0.028844 0.0008791126 -0.0000062208 0.0002829039 0.0017919734 0.0000021852 0.0017036801 0.0176578312 -0.0000000051 -0.0000391287 0.0176577788 -0.0000605124 0.0009504349
1403715893.83406 0.008540 0.016251 0.039864 0.806964 -0.032323 0.588926 0.030493 0.0009755296 -0.0000103876 0.0002900650 0.0018833647 0.0000036440 0.0017900159 0.0220971873 0.0000000202 -0.0000431579 0.0220970684 -0.0000871908 0.0010806298
1403715893.88406 0.008004 0.019988 0.046841 0.810805 -0.032890 0.583594 0.030514 0.0010796848 -0.0000102573 0.0003006904 0.0019798405 0.0000038024 0.0018786332 0.0273616906 0.0000000695 -0.0000441495 0.0273614604 -0.0001201821 0.0012225223
1403715893.93406 -0.049372 0.095747 0.055807 0.808165 -0.025997 0.587234 0.036735 0.0004887231 0.0000083896 0.0001599342 0.0009415599 -0.0001266095 0.0005089608 0.0160062235 -0.0022108465 -0.0013781449 0.0083896470 -0.0001278209 0.0010227094
1403715893.98406 -0.128793 0.154428 0.081898 0.803818 -0.022371 0.592619 0.046671 0.0002663382 0.0000417085 0.0000610815 0.0005884272 -0.0000289104 0.0000757261 0.0113762188 -0.0010239258 -0.0004652114 0.0019397746 0.0000884889 0.0003927150
1403715894.03406 -0.177129 0.164149 0.094179 0.803808 -0.019510 0.592688 0.047244 0.0000967609 -0.0000096445 0.0000167733 0.0002731293 -0.0000205951 0.0000306815 0.0060321246 -0.0008478796 -0.0000722650 0.0010216616 0.0000628185 0.0003761488
1403715894.08406 -0.196854 0.186505 0.103273 0.808095 -0.019296 0.586738 0.048468 0.0001044637 -0.0000110048 0.0000166187 0.0002803641 -0.0000241662 0.0000327634 0.0072820746 -0.0010126144 -0.0000233073 0.0012451277 0.0000592754 0.0004206299
1403715894.13406 -0.217437 0.210323 0.112437 0.809230 -0.017395 0.584919 0.052090 0.0001125979 -0.0000124558 0.0000161442 0.0002880261 -0.0000263807 0.0000346478 0.0087145670 -0.0011978796 -0.0000088228 0.0014855726 0.0000558211 0.0004681775
1403715894.18406 -0.160631 0.222863 0.130586 0.811128 -0.014815 0.581917 0.056777 0.0000569201 -0.0000026531 0.0000060654 0.0001677121 -0.0000123968 0.0000309054 0.0061568193 -0.0005738001 -0.0001108783 0.0009831145 0.0000366966 0.0004899541
1403715894.23406 -0.150110 0.228146 0.157299 0.809485 -0.013056 0.583899 0.060220 0.0000371174 0.0000104034 0.0000041198 0.0000809732 0.0000138712 0.0000163327 0.0042748475 0.0002551258 -0.0001595175 0.0006503641 0.0000652617 0.0003757753
1403715894.28406 -0.112063 0.258641 0.187420 0.808175 -0.009791 0.584996 0.067363 0.0000187592 0.0000026239 0.0000011970 0.0000383242 0.0000046133 0.0000082997 0.0022980302 0.0000098153 -0.0001333417 0.0003740964 0.0000651000 0.0002698405
1403715894.33406 -0.051315 0.288125 0.201667 0.807660 -0.005495 0.584908 0.074420 0.0000114422 0.0000017794 0.0000009321 0.0000099682 0.0000025886 0.0000054409 0.0008229665 0.0000238454 -0.0001446667 0.0003041611 0.0000687779 0.0002707120
1403715894.38406 -0.049688 0.319275 0.222242 0.805682 -0.003020 0.587033 0.079116 0.0000119896 0.0000020526 0.0000009249 0.0000098012 0.0000023292 0.0000057064 0.0008636007 0.0000516630 -0.0001616160 0.0003384153 0.0000700381 0.0002966592
1403715894.43406 -0.085634 0.325673 0.248486 0.803882 -0.002817 0.589259 0.080869 0.0000083892 0.0000020016 0.0000018637 0.0000061218 0.0000011588 0.0000039877 0.0004698542 0.0000955707 -0.0000824788 0.0002964996 0.0000353505 0.0002646694
1403715894.48406 -0.061925 0.346972 0.269739 0.805625 -0.003762 0.586767 0.081600 0.0000050622 0.0000012432 0.0000014441 0.0000031751 0.0000006246 0.0000028915 0.0002536788 0.0000573088 -0.0000701735 0.0002334838 0.0000376783 0.0001967383
1403715894.53406 -0.082695 0.353891 0.305658 0.807674 -0.007086 0.584302 0.078770 0.0000044499 0.0000013018 0.0000013016 0.0000026585 0.0000003117 0.0000023220 0.0001806498 0.0000429623 -0.0000547945 0.0002379757 0.0000592076 0.0001861352
1403715894.58406 -0.077683 0.380883 0.320529 0.809449 -0.008879 0.581894 0.078180 0.0000045054 0.0000012177 0.0000012079 0.0000025955 0.0000001861 0.0000022539 0.0001628356 0.0000380957 -0.0000486230 0.0002514811 0.0000724489 0.0001948412
1403715894.63406 -0.073198 0.402239 0.327259 0.810637 -0.010454 0.580439 0.076480 0.0000043916 0.0000011840 0.0000010666 0.0000026287 0.0000000478 0.0000022213 0.0001432288 0.0000305877 -0.0000377502 0.0002528407 0.0000896697 0.0001987144
1403715894.68406 -0.071053 0.424123 0.332856 0.812052 -0.013165 0.578865 0.072894 0.0000044674 0.0000011884 0.0000009892 0.0000026790 -0.0000000296 0.0000022330 0.0001366783 0.0000313905 -0.0000329030 0.0002696979 0.0001000666 0.0002046656
1403715894.73406 -0.057630 0.434563 0.329328 0.811723 -0.015271 0.579713 0.069320 0.0000045694 0.0000012103 0.0000009223 0.0000027519 -0.0000000772 0.0000022156 0.0001278145 0.0000347708 -0.0000233438 0.0002883979 0.0001086486 0.0002071937
1403715894.78406 -0.054478 0.446025 0.327150 0.810247 -0.018041 0.582185 0.065077 0.0000047163 0.0000011998 0.0000009017 0.0000027431 -0.0000000776 0.0000021883 0.0001272284 0.0000370640 -0.0000198643 0.0002991490 0.0001070522 0.0002002313
1403715894.83406 -0.051211 0.452531 0.320745 0.807851 -0.019961 0.585813 0.061650 0.0000048177 0.0000012435 0.0000008634 0.0000027653 -0.0000001087 0.0000021821 0.0001263174 0.0000403996 -0.0000155062 0.0003049691 0.0001027258 0.0001891854
1403715894.88406 -0.048855 0.467392 0.318108 0.805185 -0.020913 0.589670 0.059409 0.0000049189 0.0000013021 0.0000008597 0.0000027676 -0.0000002039 0.0000021867 0.0001231933 0.0000400014 -0.0000172164 0.0003061593 0.0000944543 0.0001770574
1403715894.93406 -0.044623 0.483445 0.323544 0.802854 -0.021215 0.592940 0.058293 0.0000050551 0.0000013254 0.0000008739 0.0000028199 -0.0000002097 0.0000022185 0.0001233383 0.0000454431 -0.0000149814 0.0003124717 0.0000891428 0.0001715200
1403715894.98406 -0.042208 0.511121 0.334849 0.801122 -0.021827 0.595376 0.057046 0.0000052332 0.0000013531 0.0000008916 0.0000028911 -0.0000002282 0.0000022471 0.0001250092 0.0000501314 -0.0000138503 0.0003273974 0.0000877489 0.0001697258
1403715895.03406 -0.037556 0.540191 0.344741 0.799933 -0.022138 0.597043 0.056183 0.0000054463 0.0000014049 0.0000009034 0.0000030020 -0.0000002676 0.0000023172 0.0001264612 0.0000565545 -0.0000123735 0.0003517296 0.0000906012 0.0001722389
1403715895.08406 -0.034639 0.568116 0.355386 0.799302 -0.021714 0.597846 0.056791 0.0000056482 0.0000014747 0.0000009230 0.0000031260 -0.0000003228 0.0000023679 0.0001286929 0.0000627324 -0.0000115391 0.0003809139 0.0000952256 0.0001753435
1403715895.13406 -0.030149 0.595292 0.374191 0.799350 -0.023259 0.597890 0.055018 0.0000058281 0.0000015226 0.0000009434 0.0000031977 -0.0000003253 0.0000023446 0.0001288838 0.0000683089 -0.0000097563 0.0004171672 0.0001036799 0.0001774415
1403715895.18406 -0.029271 0.606938 0.391578 0.799556 -0.024929 0.597714 0.053162 0.0000060067 0.0000015700 0.0000009215 0.0000032658 -0.0000002718 0.0000022448 0.0001300336 0.0000743781 -0.0000072826 0.0004476707 0.0001144938 0.0001809104
1403715895.23406 -0.028907 0.606309 0.403209 0.799880 -0.026087 0.597480 0.050288 0.0000059936 0.0000016493 0.0000007819 0.0000033432 -0.0000002922 0.0000022017 0.0001287655 0.0000765390 -0.0000054908 0.0004468863 0.0001219514 0.0001848221
1403715895.28406 -0.027635 0.622321 0.415782 0.799661 -0.026575 0.597800 0.049716 0.0000060157 0.0000017019 0.0000006548 0.0000034310 -0.0000002737 0.0000021101 0.0001275701 0.0000739496 -0.0000038706 0.0004452840 0.0001287383 0.0001884557
